start	end	text
800	8900	The short flashes, and not streaks, they're associated with things that are extremely flat and extremely reflective.
9180	9500	Wow.
9700	10400	Like mirrors.
10700	11320	Like mirrors.
14360	19340	This is from the Palomar Observatory before we had satellites in space.
20400	22840	How many of these transients did you find?
22960	28180	Our original sample is around 105,000 transients from just the northern hemisphere.
28180	33340	Dr. Beatrice Villareal holds a Ph.D. in astrophysics.
33660	37160	She's won the L'Oreal UNESCO Prize for Women in Science.
37580	49020	She's currently an associate professor at Stockholm University, where her research runs the gambit from active galactic nuclei to transient phenomena in the search for intelligent life.
49580	53420	If I look at everything that I learned in the last years, I will be fair.
53520	54520	I don't think we are alone.
54760	55620	I think we have company.
58180	65120	In other words, Dr. Villareal is someone who really knows her s**t when it comes to the night skies and cosmos.
65120	68900	My name is Beatrice Villareal, and I'm a very curious person.
69160	81340	And it's precisely these illustrious mainstream astronomical accomplishments which make her latest paradigm-shattering results all the more shocking and threatening to the establishment.
81340	100280	Dr. Villareal has found over 100,000 light-reflecting unidentified objects on the plates of the Palomar Observatory, the most prominent observatory in use in the 1950s.
100280	108680	The only thing is, she detected these objects before the first satellite, Sputnik, ever orbited Earth.
108880	110020	You heard me right.
110460	119800	A conventionally renowned astronomer has detected over 100,000 UFOs before humans ever put anything in space.
119800	123940	And the debunkers are flailing in their attempts to take her down.
124240	127220	Do you feel like the world is ready to accept this?
127220	134680	In this exclusive long-form interview, we address it all.
135580	148740	We stress test her results and even speak to a Ph.D. from Vanderbilt, Dr. Stephen Bruel, who's followed up on Beatrice's study and correlates these UFO appearances with nuclear tests.
148740	161700	The transients correlate not only with nuclear testing, but also show a small but statistically significant correlation with UAP reports from the general public.
162380	162880	Whoa.
164880	175160	If you've seen our show or read the work of the great Robert Hastings, you'll know that the nuclear-UFO connection is widespread, ongoing, and global.
175160	186780	We've even interviewed a top presidential advisor at the end of his life who admitted to holding UFO material that came from a nuclear detonation in the Marshall Islands in late 1963.
187140	188440	You know what, you said Hamlin.
188580	189500	That's amazing.
189980	191580	But this is unprecedented.
192040	196640	We've never correlated those anecdotal sightings with the astronomical record.
197040	204260	What's even more is that all of this work has received peer review in mainstream astronomical journals.
204260	209400	In other words, she has finally caught the white whale in UFO science.
209940	211180	Academic validation.
211600	213860	And then they can get their own ontological shock.
214140	215580	Why should only I have it?
