start	end	text
0	1000	"Section 1: of Washington DC, to attend an intermediate electronic intelligence class. It was a course needed in my development as an electronic intelligence (ELINT) analyst in the US Air Force. There were two of us from my base that were selected to attend this class so I assumed Captain White wanted to see us both. ""Would you like me to bring Sergeant Ham, Ca"
1000	2000	"Section 1: ou to meet me at the main entrance to the NSA building at 1500 hrs. I need to go over some things with you."" I had come to the National Security Agency (NSA), outside of Washington DC, to attend an intermediate electronic intelligence class. It was a course needed in my development as an electronic intelligence (ELINT) analyst in the US Air Force."
2000	3000	"Section 1: ""Puzzle Palace"" by many. When I found out I was going to attend classes there I read everything I could find on the subject. I learned that the National Security Agency was originated in response to a memorandum sent by President Harry Truman on October 24,1952 to Secretary of State Dean Acheson and Defense Secretary Robert Lovatt. This memo placed the NSA under the authority of the Secretary of Defense, and charged it with monitoring and decoding any signal"
3000	4000	Section 1: account of the existence of aliens, It is a story of my personal experiences as an intuitive communicator with the United States Air Force (USAF), while working for the National Security Agency (NSA). My going public with this story will hopefully be considered by historians of the future as the catalyst that opened the gate to the flow of relevant and concrete
4000	5000	"Section 1: e because I felt I had such a great nugget of information, knowing aliens existed. Sergeant Larsen had just finished our security briefing when Captain Stanley came back into the room. ""Sergeant Larsen. Go ahead and take Sergeant Thomas around the site for a mini tour and I'll go ahead and take Sergeant Sherman. Don and Sergeant Larsen left the conference room. The captain motioned for me to close the door. ""This is it"" I said to myself. ""D-day has arr"
5000	6000	Section 1: my back. I immediately got up and cried from the shock of it all, but I don't remember feeling any pain. Intervention? I'll probably never know. When I was 10 or 11 years old, my family managed horse boarding stables in Yuba City, CA. One of our boarders was an SR-71 pilot, Major Roberts. He was stationed at nearby Beale Air Force Base. Beale was home to the SR-71 at the time. Major Roberts was the person responsible for planting in me the desir
6000	7000	Section 1: ory and therefore was a prime candidate to try out this new method of hiding grey programs behind the cloak of secrecy it provided. Captain White had alluded to this transition in grey security during my indoctrination. Was Major Roberts part of PPD? Did he know of my abilities and was therefore planting the seed for me to join the USAF once I became of age? I'm sure I'll never know. I do know that it was due to him and his wondrous tales of how great i
7000	8000	"Section 1: ctly correspond with your need-to-know."" As he was explaining this onion effect, I remember being fascinated by the ingenuity of the system. It was obviously very effective in preventing information from being revealed. Captain White finished explaining the onion effect. ""Any questions, Sergeant Sherman?"" he asked. ""Yes, Sir, "" I replied. ""You allude to the fact that there is more than one alien mission - is this true?"" ""I only refer to there being"
8000	9000	Section 1: er President Reagan congratulating our unit for outstanding performance. The captain came back into the room, this time with several people behind him. Don and I were introduced to Sergeant Larsen, our new supervisor and Non Commissioned Officer in Charge of the mission that we would be working with during our tour at this base. The captain excused himself once again as Don, my new supervisor, and I talked. We began to discuss our past assignments, who we mutua
9000	10000	Section 1: he ordinary. There were several posters hanging on the wall, all with an Air Force theme. Amidst all the posters there hung a solitary plaque. I was curious what the plaque said so I got up to read it. It was from former President Reagan congratulating our unit for outstanding performance. The captain came back into the room, this time with several people behind him. Don and I were introduced to Sergeant Larsen, our new supervisor and Non Commissioned O
10000	11000	Section 1: he would nod a sile nt hello or give an audible one but nothing about PPD and what to expect. I felt very isolated and out of the loop. Of course, this would be a constant feeling and one that would never leave me as an Intuitive Communicator. I also began to worry why I hadn't been told to take, or been given any, pills like I was taking at the school. Before leaving my training at NSA, Captain White had told me that I would not need the pills anymore until
11000	12000	"Section 1: ien project. Hopefully I will avoid this scenario by methodically unfolding my story. So, while preparing this book for release, I had to take certain precautions regarding legitimately classified information. My regular Air Force job was as an Electronic Intelligence Specialist. The Air Force describes this career field as ""analyzing electromagnetic energy for intelligence value"". In more simple terms, I would analyze the internal characteristic"
12000	13000	Section 1: nickname I had given to my first PPD contact did not so readily apply to this one. So with no descriptive name coming to mind, I continued with the Star Trek theme. ) I immediately sensed that this was a different grey. As Bones was about to sign off I sent a comm, on the other plane, asking why my contact had changed. I wasn't sure if he just didn't receive my comm before completely signing off or he totally ignored it. But he was gone. After
13000	14000	"Section 1: do or say next concerning PPD and my new commander. I finished showing both of my visitors around my workstation when Captain Stanley announced he needed to leave. He said his good-byes and wished me luck in the future. Captain Gregory stayed behind. ""So how long have you been involved with the program, Sergeant Sherman?' he asked as soon as Captain Stanley started walking away. ""I went to school in the early part of 1992 and became mission ready arou"
14000	15000	"Section 1: actions, with no wasted energy. As he stuck out his hand towards me he said, ""Sergeant Sherman, I assume?"" Immediately intimidated by his presence, I grabbed his hand with all the strength I could muster and shook it. ""Yes Sir!"" ""Have you been waiting long? I've been so busy, running around, I'm lucky I made it when I did."" ""No, Sir, I've only been here a few minutes, "" I politely lied. I had actually been there for 15 minutes, not counting t"
15000	16000	"Section 1: and made our way through the turnstiles into the most formidable and secretive government agency ever to be formed; the National Security Agency. I had heard many stories about the National Security Agency, dubbed the ""Puzzle Palace"" by many. When I found out I was going to attend classes there I read everything I could find on the subject. I learned that the National Security Agency was originated in response to a memorandum sent by President Harr"
16000	17000	"Section 1: elevator unescorted. There was no turning back now, assuming of course I had that choice to begin with. My ELINT classes began without a hitch. The ELINT school was held at one of the NSA's office complexes just north of Fort Meade called the FANX (pronounced 'FAN-EX""). It was a challenge to go to my day classes and be expected to attend my night classes for PPD. By the end of the first month I was exhausted. The exhaustion I felt wasn't so much a"
17000	18000	"Section 1: h the danger of unauthorized disclosure lurks around every corner. The challenge I've been presented with has been to share with the reader information pertaining to the grey project without threatening the existence of the ""above top secret"" projects I may have been familiar with. ""Careful"" has become my middle name concerning my regular Air"
