start	end	text
0	1000	Section 5: Ancient Technology in Peru & Bolivia image Thanks to the many people who have helped me in researching and finishing this book including Jennifer Bolm, Christopher Dunn, Steve Zagata, David Espejo, J.M. Allen, Jean-Pierre Protzen, Alan Alford, Gene Savoy, the Precious Metals Museum in La Paz and plenty of
1000	2000	Section 10: e of Die Osterinsel und ihre praehistorischen Monumente (Easter Island and its Prehistoric Monuments). He eventually became the author of over six books, including Tihuanacu, the Cradle of American Man; Campana de Acre: La Lancha “Iris”; and Rasas y Monummtos Prehistoricos del Altiplano Andino (Prehistoric Faces and Monuments of the Andean Altiplano). In 1896, at the age of 23, the adventurous Posnansky essentially emigrated to South America and
2000	3000	Section 11: the local languages: Titi-Tata: Father of Tin Titi Wiyana: Altar of Tin to Adore the Sun Our King Titi-Kaka/Thithi-Ccotta: Tin-Plated Cup that Contains All the Waters Reunited by the Four Winds of the Intis, Antillis, or Andes Fox makes the point that the town of Oruru, south of Lake Titicaca, is another Bolivian mining center and derives its name from the Sumerian word “urruru” meaning “to smelt.” Says Fox: So we have the tin at Tiwanaku/anaku,
3000	4000	Section 9: gone and which has retained old knowledge.”4,47 Colonel Fawcett never reported finding his city, but Tomas (quoting from Harold Wilkins’ book Secret Cities of Old South America26) relates that in 1601 the Spanish author Barco Centenera recorded the discovery of a similar-sounding place. Centenera wrote of the discovery of the lost city of Gran Moxo, located near the source of the Paraguay River in the Mato Grosso. In the center of the island city he s
4000	5000	Section 11: ake Titicaca and Tiwanaku. In El Jardin de los Andes he puts forward his inspired vision of this entire area as it existed in a pre-poleshift age. The planet is flipped around, and South America and Antarctica are at the North Pole. Ramiro Gonzales ‘ conceptual drawing of the canals at Tiwanaku. In Gonzales’ vision, the Andes Mountains are a thin continent with the Altiplano area around Lake Titicaca at approximately sea level. Lake Titicaca is an
5000	6000	Section 10: n generally recognized include: the Sphinx at Giza; the Osirion temple at Abydos; the megalithic walls on the Marquesas Islands; Angor Wat in Cambodia; the statues on Easter Island; Teotihuacan Pyramid in Mexico; and the Ollantaytambo Sun Temple in Peru. We can see that modern archeologists have a great deal of difficulty in giving dates to sites around Lake Titicaca. Some of the sites are from the “Tiwanaku culture” (200 AD?, 200 BC? 1500 BC? 3500 BC? 15,000 B
6000	7000	Section 11: lt here on the southern shores of Lake Titicaca. Was it just a cult center? Who were these geniuses and what were they after? We know now that they included Sumerians. Indus Valley Hindus probably began voyaging into the Indian Ocean, Persian Gulf and Western Pacific at a very early date. A descendant of these people, the “Phoenicians of the Pacific,” were the Cham people of Southeast Asia. These Hindu-Buddhist megalithic people, who also used the c
7000	8000	Section 15: l to Peru and the lost city would cost quite a bit of money, and it was money that he just could not raise. At that time, it would be the equivalent of many thousands of dollars to make the journey to Lima, Cuzco and the Urubamba Valley. A Secret City in the Andes As I walked up the granite stairs of Machu Picchu towards the great plaza just below the main temple and the Intihuayna—the “Hitching Post of the Sun”—I wondered about those early visitors to
8000	9000	Section 10: de Acre: La Lancha “Iris”; and Rasas y Monummtos Prehistoricos del Altiplano Andino (Prehistoric Faces and Monuments of the Andean Altiplano). In 1896, at the age of 23, the adventurous Posnansky essentially emigrated to South America and participated in various expeditions exploring remote areas of the upper reaches of the Amazon River. Because of his participation in these expeditions he became an experienced navigator of certain tributaries of the
9000	10000	Section 11: liquid metal, which in Greek and Roman times was most often transported in iron flasks. Ceramic vessels can also be used to hold the liquid metal and this was common in China and the Americas. The major cinnabar-mercury deposits of South America are near the town known as Huancavelica in Peru, northwest of Lake Titicaca. Huancavelica was know
