start	end	text
0	1000	Section 1: pecial credit to Dr. Olavo Fontes (of APRO); Major Donald Edward Keyhoe (USMC), Fran Ridge (NICAP.org), APRO (MUFON), CUFOS, Jan Aldrich (Project 1947), Barry Greenwood, Bob Pratt and Phillip J. Imbrogno; Larry Fawcett; Jacque Vallee, Dr., J. Allen Hynek (Project Blue Book) and Flying Saucer Review, Dr. James E. McDonald; Loren E. Gross; Retired Detective Constable Gary Heseltine; Dr. Steven Greer; Stephen Bassett; The United States Air Force (Proje
1000	2000	Section 19: New Mexico are where the camera was installed: “Biggs Air Force Base (at El Paso),” “Ellington Air Force Base (at Houston),” “Brooks, Kelly and Randolph Air Force Bases (at San Antonio),” “Good Felled Air Force Base (at San Angelo),” “Peria Air Force Base (at Sherman),” “Reese Air Force Base (at Lubbock) and San Marcos field,” “Clovis Air Force Base (at Clovis),” “Walker Air Force Base (at Roswell):’and “Holloman Air Force Base (at Alamogordo).”
2000	3000	Section 19: photographs of the unidentified flying object. Individual couriers then dispatched the photographs from the special cameras to Wright Patterson Air Force Base for analysis. This event takes place around the same time U.S. Air Force Colonel, and Astronaut Gordon Cooper's cameramen took both movie film and photographs of a saucer landing on the lake bed at Edwards Air Force Base at the Dryden Lake Bed testing facility. In Coopers case, both Movie film and p
3000	4000	"Section 15: heard the story through the Washington Tower. He did not report this to the Air Force, as newspaper reporters showed up at his home in Tulsa, Oklahoma and answered questions. Both Captain Sperry and Captain Myers (later President Truman’s pilot) denied any meteor event or illusion. [cccxxviii] Cigar Ship | United Airlines | Los Angeles, California: On June 24, 1950, at 8:08 pm, three Aircraft Crews (2 commercial ""United"" and 1 Navy Transport) witness a"
4000	5000	Section 15: interest.htm Near Collision with DC-6 passenger plane | Blue Book | American Airlines | Virginia: On May 29, 1950, an American Airlines DC-6 plane departed Washington, D. C., enroute south over Virginia. Figure 35 - DC-6 Western Airlines 1956 | [cccxxiv] About 9:30 pm when they saw a UFO, first Officer William Gates noticed a light approaching the airliner head-on and notified Capt. Willys T. Sperry. Flight Engineer Robert Arnholt also witnessed what fo
5000	6000	"Section 15: object and the commercial National Airplane were at the same altitude. Captains Lundy and Leon Blanks contacted Washington Air Traffic Control Center whom in-turn contacted Olmstead. In another report published in the ‘Washington Daily Times’, a Marine Pilot told United Press ""two green objects"" sped across the sky at a terrific speed and a very high altitude over Quantico the same evening. [cccxxxvii] UFO approached passenger plane | National Airlines | Wa"
6000	7000	Section 1: wood, Bob Pratt and Phillip J. Imbrogno; Larry Fawcett; Jacque Vallee, Dr., J. Allen Hynek (Project Blue Book) and Flying Saucer Review, Dr. James E. McDonald; Loren E. Gross; Retired Detective Constable Gary Heseltine; Dr. Steven Greer; Stephen Bassett; The United States Air Force (Project Blue Book), bluebookarchive.org, fold3.com for all the years of excellent research and dedicated researchers associated with the group. To all the brave men and wom
7000	8000	Section 25: a letter from the Dearborn Observatory, the Beloit Police took in a large number of UFO reports on the evening in question. A Teletype report was prepared and sent the commanders at 1) ADC Ent Air Force Base (CO); 2) ADS Truax Field (WI); 3) Air Technical Intelligence Center Wright Patterson Air Force Base (OH); 4) Chief of Staff Intelligence HQ U.S.A.F. Washington DC; and 5) OFC of Info Services HQ U.S.A.F. The Air Force concluded the witnesses mu
8000	9000	Section 25: climb steadily out of sight. His entire viewing time was 15 to 20 seconds. A report on ‘Unidentified Flying Objects’ was prepared for the Director of Intelligence, HQ U.S.A.F., Washington, DC, Ent Air Force Base (CO) and Chief Air Intelligence Wright Patterson Air Force Base (OH). The report was through the Commanding General, Central Air Defence Force, Kansas City (MO). The Air Force concluded this was a possible “Aircraft” sighting. [dclix] Comment | The B-36 had
9000	10000	"Section 26: On June 29, 1947, The ‘Evening Star,' Washington D.C. published an article with the headline ""Saucer Seen by Rocket Expert; Flight Over Desert Described."" The subtitle was ""D.C. Navy Research Worker Says Flying Disc Was Unlike Any Guided Missile He Has Seen."" This article follows an event that took place on June 29, 1947, where three passengers in a car near White Sands proving ground spotted a uniform craft. In another newspaper clipping on July 8, 1947, the t"
