start	end	text
0	1000	Section 6: ehicle AAWSAP Advanced Aerospace Weapon System Applications Program AFOSI Air Force Office of Special Investigations ATFLIR Advanced Targeting Forward Looking Infra-Red BAASS Bigelow Aerospace Advanced Space Studies BEAM Bigelow Expandable Activity Module BICS Bigelow Institute for Consciousness Studies CIA Central Intelligence Agency COR Contracting Officer Representative DCIS Ductal Carcinoma In Situ DHS Department of Homeland Security DIA Defense Intelligence Agency D
1000	2000	Section 32: he organizational structure under which AAWSAP BAASS operated in support of DIA: (1) Three Experimental Divisions overseeing three separate UAP “Hot spots” (2) Data Collection Department (3) Data Analysis Department (4) Advanced Technology Department (5) Consciousness Department (7) Integrative Research Department 1.Three Experimental Departments (UAP Hot Spots) Currently there exist two or three well-studied experimental locations in the SW United States involving
2000	3000	Section 6: CS Bigelow Institute for Consciousness Studies CIA Central Intelligence Agency COR Contracting Officer Representative DCIS Ductal Carcinoma In Situ DHS Department of Homeland Security DIA Defense Intelligence Agency DIRD Defense Intelligence Reference Document DoD Department of Defense DSS Defense Security Service DWO Defense Warning Office FBO Fed Biz Opps or Federal Business Opportunities HIPAA Health Insurance Portability and Accountability Act ISS International Space Stat
3000	4000	Section 6: SkinWalkers-interior-for_Epub-5 AATIP Advanced Aerospace Threat Identification Program AAP Abnormal Aerospace Phenomena AAV Advanced Aerospace Vehicle or Anomalous Aerial Vehicle AAWSAP Advanced Aerospace Weapon System Applications Program AFOSI Air Force Office of Special Investigations ATFLIR Advanced Targeting Forward Looking Infra-Red BAASS Bigelow Aerospace Advanced Space Studies BEAM Bigelow Expandable Activity Module BICS Bigelow Institute for Cons
4000	5000	Section 6: Lawrence Livermore National Laboratory MDA Missile Defense Agency MUFON Mutual UFO Network NIDS National Institute for Discovery Science NVG Night Vision Goggles ODNI Office of the Director of National Intelligence OpSec Operational Security PMR Project Management Report RFP Request for Proposals RV Remote Viewing or Remote Viewer S&T Science and Technology SAB Science Advisory Board SAP Special Access Program SCI Sensitive Compartmented Information SCIF Se
5000	6000	Section 21: g the National Institute for Discovery Science database, a Pilot Database amassed from hundreds of separate military and civilian pilots, the USAF Project Sign/Grudge/Blue Book Database, the Project Colares Database, the Canadian Release Database, the United Kingdom Release Database, and other databases. AAWSAP Investigation of Soviet Thread III UAP Program In June 2010 AAWSAP delivered a 149-page report to DIA entitled:” Russian Thread III Project.” This report
6000	7000	Section 6: igence Reference Document DoD Department of Defense DSS Defense Security Service DWO Defense Warning Office FBO Fed Biz Opps or Federal Business Opportunities HIPAA Health Insurance Portability and Accountability Act ISS International Space Station JWICS Joint Worldwide Intelligence Communications System LLNL Lawrence Livermore National Laboratory MDA Missile Defense Agency MUFON Mutual UFO Network NIDS National Institute for Discovery Science NVG Night Vision Gog
7000	8000	Section 21: inning of the second year of operations, the AAWSAP BAASS Data Warehouse contained tens of thousands of sighting and investigative reports on UAP events, including the National Institute for Discovery Science database, a Pilot Database amassed from hundreds of separate military and civilian pilots, the USAF Project Sign/Grudge/Blue Book Database, the Project Colares Database, the Canadian Release Database, the United Kingdom Release Database, and othe
8000	9000	Section 27: cluded in the AAWSAP BAASS Data Warehouse were: (1) NIDS Database, (2) Airline and Military Pilot Database, (3) Project Sign/Grudge/Blue Book Database, (4) UFOCAT Database, (5) MUFON Case Management System Database, (6) Project Colares Database, (7) Canadian Government UAP Release Database, (8) United Kingdom Government UAP Release Database, (9) AAWSAP BAASS Database of cases investigated internally 2008-2010, (10) Skinwalker Ranch Database, and (11) An “eyes
9000	10000	Section 6: ity PMR Project Management Report RFP Request for Proposals RV Remote Viewing or Remote Viewer S&T Science and Technology SAB Science Advisory Board SAP Special Access Program SCI Sensitive Compartmented Information SCIF Sensitive Compartmented Information Facility SME Subject Matter Expert SVP Source Visit Probability-A numerical index of credibility for UAP cases designed by Dr. Jacques Vallee TS-SCI Top Secret - Sensitive Compartmented Information TTSA To the Stars Academy UAP
