start	end	text
0	1000	Section 13: Adm. Roscoe Hillenkoetter Secretary of Defense James Forrestal Lt. Gen. Nathan Twining of the AAF and then USAF Air Materiel Command Professor Donald Menzel, Harvard astronomer and Naval Intelligence cryptography expert Vannevar Bush, Joint Research and Development Board Chairman Detlev Bronk, Chairman of the National Research Council and biologist who would ultimately be named to the National Advisory Committee on Aeronautics Gen. Robert Montague,
1000	2000	Section 13: o would ultimately be named to the National Advisory Committee on Aeronautics Gen. Robert Montague, who was General Twining’s classmate at West Point, Commandant of Fort Bliss with operational control over the command at White Sands Gordon Gray, President Truman’s Secretary of the Army and chairman of the CIA’s Psychological Strategy Board Sidney Souers, Director of the National Security Council Gen. Hoyt Vandenberg, Central Intelligence Group Director prior t
2000	3000	Section 12: ment, and “ops.” This working group, which included Adm. Roscoe H. Hillenkoetter, Dr. Vannevar Bush, Secretary James Forrestal, Gen. Hoyt Vandenberg, Dr. Detlev Bronk, Dr. Jerome Hunsaker, Sidney W. Souers, Gordon Gray, Dr. Donald Menzel, Gen. Robert M. Montague, Dr. Lloyd V. Berkner, and Gen. Nathan Twining himself, became the nucleus for an ongoing fifty-year operation that some people have called “Majestic-12.” At the Eisenhower White House, it was s
3000	4000	Section 13: the group made any final decisions, the President advised. By the middle of September it was obvious to every member of President Truman’s working group, which included the following: Central Intelligence Director Adm. Roscoe Hillenkoetter Secretary of Defense James Forrestal Lt. Gen. Nathan Twining of the AAF and then USAF Air Materiel Command Professor Donald Menzel, Harvard astronomer and Naval Intelligence cryptography expert Vannevar Bush, Joint Research and D
4000	5000	Section 6: book. A list follows: Historical Reference Branch, U.S. Army Military History Institute, Carlisle Barracks, Carlisle Pennsylvania; Chief, Corps of Engineers, Washington, D.C.; Department of the Army R&D, The Pentagon; U.S. Army Missile Command, Command Historian, Redstone Arsenal, Alabama; U.S. Army Belvoir Research, Development and Engineering Center, Ft. Belvoir, Virginia; Space and Strategic Defense CMD, Redstone Arsenal, Huntsville, Alabama; Night Vision
5000	6000	Section 6: . Belvoir, Virginia; U.S. Army Research Laboratory Cmd.; Harry Diamond Laboratories, Adelphia, Maryland; Walter Reed Army Institute of Research, Washington, D.C.; Department of Army Historical Service Division, Center of Military History, Washington, D.C.; U.S. Army Corps of Engineers, Office of History, Ft. Belvoir, Virginia; Hdgs. U.S. Army Communications—Electronic Cmd., Research, Development and Engineering Center, Night Vision Electronic Sensors Di
6000	7000	Section 6: vision, Center of Military History, Washington, D.C.; U.S. Army Corps of Engineers, Office of History, Ft. Belvoir, Virginia; Hdgs. U.S. Army Communications—Electronic Cmd., Research, Development and Engineering Center, Night Vision Electronic Sensors Directorate, Ft. Monmouth, New Jersey; Missile Command USASS DC-H, CSSD-PA, Huntsville, Alabama; U.S. Army, Quartermaster Center, Ft. Lee, Virginia; Hdgs. U.S. Army Materiel Cmd., Research and Development, Alexandria, V
7000	8000	Section 13: President Truman’s Secretary of the Army and chairman of the CIA’s Psychological Strategy Board Sidney Souers, Director of the National Security Council Gen. Hoyt Vandenberg, Central Intelligence Group Director prior to Roscoe Hillenkoetter and then USAF Chief of Staff in 1948 Jerome Hunsaker, aircraft engineer and Director of the National Advisory Committee on Aeronautics Lloyd Berkner, member of the Joint Research and Development Board Unless this group
8000	9000	Section 6: d background information on details of projects and studies in which I participated. They went beyond their normal activities to furnish the data I requested, which was invaluable in compiling this book. A list follows: Historical Reference Branch, U.S. Army Military History Institute, Carlisle Barracks, Carlisle Pennsylvania; Chief, Corps of Engineers, Washington, D.C.; Department of the Army R&D, The Pentagon; U.S. Army Missile Command, Command Historian, Redst
9000	10000	Section 6: Hdgs. U.S. Army Materiel Cmd., Research and Development, Alexandria, Virginia; Lincoln Labs, Lexington, Massachusetts; and Bell Laboratories, Westminister, Colorado. I also wish to thank the modern military branch of the National Archives, Washington, D.C., and the Commissioner of Patents and Trademarks, Washington, D.C. Thanks also to my friends Neil Russell and Dennis Hackin at Neil Russell Productions in Los Angeles for their understanding of this fas
10000	11000	Section 12: neral Twining’s Air Materiel Command at Wright Field, where the Roswell debris was shipped. Nathan Twining has become important to UFO researchers because of his association with a number of highly secret meetings at the Eisenhower White House having to do with the national security issues posed by the discovery of UFOs and his relationship to National Security Special Assistant Robert Cutler, who was the liaison between the NSC and President Eisenhower when
11000	12000	Section 12: reign Technology desk at the Pentagon. Among the first of the army’s top commands notified of the events unfolding in Roswell in early July would have had to have been Lieutenant General Twining’s Air Materiel Command at Wright Field, where the Roswell debris was shipped. Nathan Twining has become important to UFO researchers because of his association with a number of highly secret meetings at the Eisenhower White House having to do with the nation
