start	end	text
0	1000	Section 101: and directed the short film Stranger at the Pentagon, which was adapted from the popular UFO book authored by the late Dr. Frank E. Stranges. The film won Best Sci-Fi Film at the Burbank International Film Festival and a Remi Award at the World-fest Houston International Film Festival. Craig has appeared on Coast to Coast AM and Beyond Belief, hosted by George Noory. He has also appeared on Ancient Aliens, where Giorgio A. Tsoukalos is the main an
1000	2000	Section 101: enteen, Craig went to work behind the scenes on Frank Herbert's Dune, directed by David Lynch, and two Arnold Schwarzenegger movies: Conan the Destroyer and Total Recall. He began his casting career on Steven Spielberg's Amazing Stories, and later received an Emmy nomination for Outstanding Casting for a Series on David E. Kelley's Picket Fences. Craig's casting career spans three decades. Craig's mother, Marie Donna King Campobasso, told him that she
2000	3000	Section 49: al speech, they speak the language of light. Dimensional Capacity: The Agartha Network Councils say Earth will move directly into the fifth dimension because the fourth will no longer exist, as it is being removed by the Universal Spiritual Hierarchy, as a part of our accelerated ascension plan. Saint Germaine and the I AM Teachings In 1930, while hiking Mount Shasta in Northern California, Guy W. Ballard met Ascended Master Saint Germaine. It was through Saint Germ
3000	4000	Section 49: restrial Species Almanac Telosians Universal Origin: Telos is an ancient Lemurian colony that relocated one mile beneath Mount Shasta in Northern California before its destruction. The city of Telos is the capital of the Agarthan Network and home to 1.5 million people. Its sister city, Catharia, is beneath the Aegean Sea. Telos is governed by an Ascended Master Council of twelve: six males and six females. Adama oversees Telos as high priest of Melchize
4000	5000	Section 80: eta Dracs escaped their reptilian oppressors and became fully conscious. They are now part of the Galacterian Alignment. Cosmic Agenda: Zeta Dracs are another hybrid race created by the Draconians to expand the tyrannous Orion Empire. They were specifically bred to be controlled and enslaved. Technology: Zeta Dracs travel with the Draconians in their craft, as their subordinates. Consciousness Abilities: Zeta Dracs have a special telepathic ability:
5000	6000	Section 49: no longer exist, as it is being removed by the Universal Spiritual Hierarchy, as a part of our accelerated ascension plan. Saint Germaine and the I AM Teachings In 1930, while hiking Mount Shasta in Northern California, Guy W. Ballard met Ascended Master Saint Germaine. It was through Saint Germaine's assistance that Ballard created a series of books on the Mighty I AM Presence (the God in you), a way to make contact with the Forces of Light.
6000	7000	Section 23: y would crash. According to Harley Byrd of Project Blue Book and the United States Air Force, “The landing of Valiant Thor was perhaps the first documented landing of a human-type alien by military officials. He met with President Eisenhower and Vice President Richard Nixon for an hour, and then the alien was put on VIP status and shuttled back to the Pentagon.” Learn more about Dr. Frank E. Stranges's book Stranger at the Pentagon and Venusian commander Va
7000	8000	Section 70: The Extraterrestrial Species Almanac Universal Origin: Grey Insectoids come from Mu Draconis, a binary star in the Draco constellation. Physical Characteristics: Grey Insectoids are a hybridization of Tall Greys and Mantis beings
8000	9000	Section 79: e cosmic veil, and command the Orion Empire in secret through their elusive and mysterious mind powers. Their dark consciousness has a hold over the Draconians and its subordinate hybrids, those polarized to negativity. Dimensional Capacity: Dragon Dracs are interdimensional sliders. They slip from dark-verse to dark-verse, and create temporary verses, hidden sanctuaries, to escape the Galacterian Alignment or the Angelic Corps. It's a game of cat and mous
9000	10000	Section 80: reen skin is unblemished and quite smooth. Belief System: Zeta Dracs believe in service to self. They are taught from the time they are children that humans are the enemy, and that reptilians are superior to all others. Some Zeta Dracs escaped their reptilian oppressors and became fully conscious. They are now part of the Galacterian Alignment. Cosmic Agenda: Zeta Dracs are another hybrid race created by the Draconians to expand the tyrannous Orion Em
