start	end	text
0	7800	I get a postcard to my home address and it says in all caps in dark black, we are watching you.
8400	9380	Oh my God.
9460	9680	I know.
9820	11220	It was very unnerving.
11420	16400	What do you think put you on the radar of any of these people?
22060	27240	Dark Skies was an NBC series about an alien invasion set in the 1960s.
27280	28300	Which you co-created.
28300	28740	Yes.
28740	31380	We're running the show and it's going to air that night.
31480	32760	We say, let's have a party.
33520	38520	I'm at a premiere party with all of these like big wigs in Hollywood and some guy walks out.
38940	41440	And he says, you guys got a lot right.
41920	43260	But you also got a lot wrong.
43380	44300	And that's why I'm here.
44440	46260	He just starts writing something on a piece of paper.
46560	50240	And he goes, put this in a safety deposit box for about 10 to 15 years.
50460	51220	I go, what is this?
51240	52820	And he goes, secrets of the universe.
53780	54180	Whoa.
54640	55300	Good night, folks.
55300	58900	They're going to tell us like when to write and how to write.
59320	60400	So how would that work?
60480	65180	You would give us ideas that you would want us to put in scripts.
66080	67160	We didn't take the deal.
67160	73240	Do you guys think that any other directors in Hollywood have taken similar deals?
73240	83140	I am much more inclined now than I was when I made Close Encounters to really believe that we're not the only intelligent civilization in the universe.
83140	90520	You know, after Jaws, apparently he got approached by some guys from Naval Intelligence or something.
90780	92380	And he came and offered him a deal.
92700	93840	And yeah, and he took it.
95240	99060	We all just watched Steven Spielberg's Disclosure Day.
99260	103100	And it's just like there are too many deep cut things.
103280	104620	I think he got a lot right.
104740	106240	No, he gets a lot right every time.
106240	110380	I had a whole previous Disclosure experience when I was 18.
110660	114700	We lived right next door to this family, a guy named John Harrington, his wife Lois.
114700	117200	He goes, listen, I got a new job.
117800	119700	I have a higher clearance level than the president.
120600	121380	Aliens are real.
121760	122280	They're here.
122460	123200	And I've seen them.
123640	126240	Reality is not what we know.
127080	130880	This is what kicked off decades of high strangeness.
130880	137300	I have seen six people die in pretty horrific ways, like Final Destination type.
137540	139040	But I was in the middle of them.
139220	139500	What?
139960	144640	So I lower the paper and there's a woman standing at the foot of my bed.
145920	149220	Her eyes are two black circles that are undulating.
150920	153560	You also saw a Nordic alien?
154460	155040	I did.
156340	157620	On Orcas Island.
157620	158620	And he said...
158620	167900	How is this possible?
169100	170800	Nothing too emotional about that.
172960	175740	The existence cannot longer be denied.
184700	186940	Bryce Zabel, thank you so much for being here.
186940	188920	Brent Friedman, this is an honor.
190040	196140	This couldn't be more perfect timing because we all just watched Steven Spielberg's Disclosure Day.
196220	199960	And both of you guys have just illustrious Hollywood credentials.
200620	207520	And we're here to talk about the connections between Hollywood and UFOs, but also a new amazing podcast that you guys have started about that.
209000	213560	Bryce, you are the former chairman and CEO of the Academy of Television Arts and Sciences.
213560	219500	You've created five primetime TV series, including Dark Skies, which you co-created.
219760	219980	Yes.
220180	221940	And it is just incredible.
222080	223260	It's kind of a cult classic.
223640	225320	And I want to get into a lot of themes there.
225420	228200	You were a writer on Taken with Steven Spielberg.
228200	236280	And you co-authored A.D. After Disclosure with Richard Dolan, obviously a legendary UFO researcher.
236460	239280	I know you guys do a lot of media together as well.
239820	250940	And Brent Friedman, you were a writer-producer, obviously Dark Skies, Mortal Kombat, Star Trek Enterprise, Star Wars, The Clone Wars, and many others.
250940	259880	And you have some very interesting stories as well, which you guys share on your new podcast, Sound, Light, and Frequency.
260260	261560	Thank you both for being here.
262240	262880	Thanks for having us.
262960	265060	This is a real pleasure for me.
265240	267120	I'll let Bryce tell his own story.
267260	272720	But I've been a fan of your show for a long time, listened to so many episodes, and learned a lot.
273080	274740	We talk about your show all the time.
274740	280980	And we keep doing shout-outs to your show on our show, because you are bringing it, and we're happy to be here.
281220	281880	Thanks for having us.
282020	282820	Where do we start?
282940	290760	Maybe the title, Sound, Light, and Frequency, of the podcast, that came from a very interesting story.
291420	292300	Let's get into that.
292920	294880	You just made Dark Skies.
295280	298600	You're doing this party, right, around its release, its premiere.
298820	299040	Yep.
299300	300380	And what happens?
