start	end	text
0	10720	If we develop our psychic ability, we are going to be a power in the universe because we can see
10720	18820	way into the future, anywhere in space. That's why our friends want us out there and our enemies
18820	28020	don't want us off this planet. You have experienced so much, both in the world of remote viewing,
28020	33300	you are the inspiration for The Men Who Stared at Goats, an incredible George Clooney movie about
33300	39200	a psychic spy stopping a goat's heart. So you must have had a very high clearance. Oh yeah,
39340	44800	I had one of the highest clearances, not only for the remote viewing, but for other stuff that
44800	51880	will never be talked about. You remote viewed alien bases. The four major alien bases on the earth,
51880	59980	one in Mount Hayes, Alaska, Mount Zeal in Australia. Secret Mountain near Bradshaw Ranch
59980	67680	in Sedona, Arizona. Mount Inyongani is another alien base. Have you ever seen humans and aliens
67680	74600	working side by side in a non-remote viewing capacity? Yeah, one of the, what they call the
74600	81360	insectoids. Wow. It was sitting in a row of humans that were at the positions working some
81360	87980	equipment. Whoa. You've seen a UFO inside a hangar. That's where I came across this control panel and
87980	95720	that's when I said, hey, that's out of a UFO. So how do you fly a UFO? An impression of a hand
95720	101860	on it, where you put your finger over the hole controls the ship. The alien was there. He took me
101860	109200	up front. He was the pilot. So I tried it and I learned how to do it. People like you with high
109200	115640	psi powers, elite level skill. You can do a lot. We can change the weather anywhere in the world.
115860	120500	This takes mutually assured destruction to a whole new level. The Russians look across the
120500	127060	battlefield and kill their enemies by stopping their hearts. Our government was afraid of us.
127440	130240	With the remote viewing, there's no more secrets.
131860	142680	My biggest strength actually is accessing people mentally. Hmm. Can you access me mentally
142680	143220	right now?
145360	153200	Ignition sequence 5. How is this possible? Nothing too unusual about that.
155200	158200	The existence cannot longer be denied.
158200	168680	Here with Lynn Buchanan.
169020	173480	This is a total honor. And I don't know if you know this, but this is a full circle moment for me
173480	179020	because right when I started my show, I called Jeffrey Mishlove because I was a huge fan of his
179020	185960	show, New Thinking Allowed. And I need to still have him on as a guest. But he recommended I interview
185960	190960	you. And I almost did this road trip across New Mexico. And so you would have been the first
190960	192560	American Alchemy guest.
193220	198340	Well, hey, that's an honor for me. Well, it's an honor for me to be here today. Thank you.
