start	end	text
80	4880	You have one of the most extraordinary stories of anyone I know.
7120	8720	Be sure to tell me the whole story.
11280	13600	By all accounts, I was a normal person.
13600	16240	Life was great. Things were working out well in my favor.
16880	18320	And then things took a turn.
19760	23280	Early 2023, I began to unravel.
23280	32080	This was like very brutal PTSD level of flashbacks.
35520	40480	I was remembering and having nightmares of being in the labs, being surrounded with people.
41520	47040	I was completely removed from the public school system for multiple years of my life.
47040	53920	Shovels marked the start of construction of the new $16 million facility at Baker Victory Services.
55520	60880	I was in the gate classroom. I drank the pink drink. It's just that there was a progression of more.
62720	66640	And what sort of experiments would they have you do and what would they test you on?
68320	75040	These UAP, UFO, other materials, they're not flown with joysticks. They're flown through the mind.
78000	84000	I would lay in a deep meditation. I would have some type of sedative and shift my consciousness
84000	86400	into a set object or some vehicle and become it.
88080	89920	Pilot it up and down, move it left and right.
91040	94880	From what I understand, what they were trying to do is build a brain neural interface
94880	98800	that would reproduce the brainwave signals that I was sending out.
98800	101600	So then you could boil it back down to someone with a controller.
102560	103680	That is wild.
103680	109360	The people in the program had this thing. They called it a relic.
109360	113440	And sitting at the center of the coffee table, it's a literal crystal orb.
113440	116640	But the inside of this orb was alive.
116640	126400	And as I locked eye contact with it, the inside structure, it adapts and it changes.
126400	127600	Oh my god.
127600	132800	And it's almost as if this object, as I'm looking at it, is now looking back at me.
136240	139280	Consciousness is actually the root of disclosure.
139280	142880	It's you, your disclosure, consciousness, awareness.
142880	146000	The fact that the world is not as we see it.
146000	147520	It's constantly evolving.
147520	157200	Like, that's the epitome of disclosure.
157200	172880	There's a state that researchers call hypnagogia.
172880	178080	There's a state that researchers call hypnagogia.
178080	183360	That threshold between waking and sleep where the brain is doing something genuinely unusual.
183360	186880	It's where a lot of people report their most vivid experiences.
186880	189760	The kind of thing that comes up in remote viewing accounts.
189760	191680	Other altered states research.
191680	195760	And some of the most fascinating conversations I've had on the show.
195760	199760	Since moving to Austin, sleep is something I've thought a lot more about.
199760	202080	Mostly because I don't get a ton of it.
202080	206800	Until recently, I was sleeping on a mattress that I've had for the last 10 years.
206800	209840	And it was clearly not helping me get the sleep I need.
209840	214400	When I finally decided I need to fix that, a friend told me to try Helix.
214400	216320	And I'm so glad I did.
216320	221360	They actually have a sleep quiz that matches you to the right mattress based on your sleep position,
221360	224880	your body type, and whether you sleep hot or cold.
224880	227920	I got matched with Helix Midnight with the cooling cover,
227920	232640	which I know is going to matter a lot in these very hot Austin summers.
232640	235520	While I've loved my Helix mattress for a while now,
235520	239520	Helix also recently sent me their comfort adjust cooling pillow.
239520	245280	I wake up with zero neck stiffness, which for someone sitting in a recording chair for hours is a miracle.
245280	252880	Helix Sleep has 20 plus mattresses, free shipping, a 120 night trial, and a limited lifetime warranty.
252880	258320	And Helix was recently named one of USA Today's most trusted brands for 2026.
258320	269120	Visit helixsleep.com slash Jesse Michaels, Michaels with no A, to take advantage of their 4th of July sale and get 20% off site-wide.
269120	272400	And be on the lookout for additional sales on the Helix site.
272400	276080	Thank you so much to Helix Sleep for sponsoring this episode.
277600	280240	Jordan Jozek, it is an honor to have you.
280240	285920	You have one of the most extraordinary stories of anyone I know.
286480	295220	And you've turned some very dark things in your childhood and life into a very positive mission and message.
295980	298240	And I think you're remarkable.
298500	307200	And I'm just honored because I know it's not easy for you to do this and to tell your story that you are doing this on our show.
307320	308220	It means a lot to me.
308220	309920	Yeah, thanks so much for having me on, Jesse.
310240	315760	This show has been a long time coming, and I'm just as honored to be in the position here to present it with you.
316060	317520	The honor is mine.
318480	320160	Why don't we back up to 2023?
321340	327100	Because you were, by all accounts, a normal and very high-functioning, successful person.
327820	330900	Do you want to describe, just like give a snapshot of your life at the time?
331040	331940	Yeah, yeah, definitely.
332600	336460	So 2023, I was a very normal, run-of-the-gun person.
336880	338360	I was a serial entrepreneur.
338360	340700	So I had some successful ventures in business.
341080	342980	I worked in the tree care industry.
342980	348100	I was working in kind of applied agentic AI in late 2023.
348380	350460	It's early for agentic AI.
350740	351320	Very early.
351400	351880	Very early.
351960	355960	We were doing some cool things with wildfire prevention and very cool.
355960	358640	It's like next-generation research to help utility companies.
359060	361520	Super proud of what I was doing at the time.
361760	369000	And yeah, by all accounts, outside looking in, as well as from the inside looking at myself, I was a normal person.
369800	370680	Success-driven.
371240	372300	Life was great.
372500	374080	Things were working out well in my favor.
374080	377800	And then, as you know, things took a turn.
379560	387400	Things took a turn when I kind of went through some personal struggles, was going through some relationship challenges, was also working in the startup field.
387400	408740	So just very high stress and getting into like late 2022, early 2023, just with some triggering things in normal life, I began to unravel, for lack of a better word, and unravel in a sensation that brought back what I could only describe as childhood memories that I had not previously recollected.
408740	417380	I was remembering a life that didn't feel like mine, and it wasn't just like simply, hey, I was remembering something all of a sudden.
417620	425440	This was like very brutal PTSD level flashbacks, throwing myself out of bed with nightmares.
426160	437160	After this kind of triggering moment just where work was boiling up against my relationship changes, all of it came flooding back to where I was remembering things that like I couldn't place in linear time.
437160	439800	So I didn't know what was going on.
439880	442340	I thought like, hey, did I just draw the crazy straw?
442620	444560	Did something happen to me psychologically?
445380	447840	So I did what a normal person would do, right?
447880	457040	Like went out and sought help, started working with therapists, and began to figure out that what I was recalling was actually dissociated parts of my childhood.
458040	458600	Wow.
459400	464380	And prior to that, what had you kind of conceived of when it came to your childhood?
464380	467960	Did you have this kind of linear, full memory of it?
468480	469260	Not at all.
469360	473780	But in that same respect, how many people really think about their childhood, right?
473900	475920	Like, do you remember your childhood when you were leaving?
475940	476540	No, it's funny.
476580	481480	I was just recounting like my, you know, elementary school teachers, and it was a struggle.
481600	483640	But I was like able to like do it.
483680	486120	But it's not something that's set off top of mind.
486380	486700	Exactly.
486880	487080	Yeah.
487460	489520	And that was my same experience with it, too.
489520	493280	It was like I thought, to the best of my knowledge, I lived a very normal life.
493860	495860	You know, grew up in a small rural town.
496580	499300	Things were just normal for me, for lack of a better word.
499540	508400	And graduated high school, went on to be a very success-oriented person, beat cancer at a very young age, at age 20.
508580	509080	That's amazing.
509220	510660	And then, yeah, just went off.
510660	514840	I was just like a hard-working, committed individual, and life was good.
515920	518220	And then the memories started, like I said.
518760	521200	And these memories weren't typical memories.
521380	530240	These weren't even necessarily memories of just what someone would consider like abuse or something that, you know, our brain from an aspect of protecting us from trauma would hide.
530640	533920	They were simply things that I didn't even have the vernacular to articulate.
533920	543920	So I was remembering and having nightmares of being in the labs, being surrounded with people that I learned to recognize and learned to actually remember names.
544620	557140	And all of this went on for about a period of about two months where I was having severe PTSD, remembering all these childhood experiences, lab settings, things I didn't have the vocabulary for.
