start	end	text
0	5460	And that's when you see that footage, and he just unloaded.
5740	8960	He says, I know UFOs are real.
9180	10840	I was inside one.
11180	14660	I know they were made with materials that we can't duplicate, we can't replicate.
15480	19620	First time you ever hear him like, fuck the noise.
20720	22700	My name is Jeremy Corbell.
23020	25280	I seek to weaponize your curiosity.
25840	29660	And I see a white light pop up and stop about 100 feet in the air.
30340	33280	On Weaponized, you've broken some amazing stories.
33400	36180	Matthew Brown, Dylan Borland, Jim Lekatsky.
36180	43720	You told us, because you were allowed to tell us, that our government has a UFO in its possession and has been able to access the inside of it, right?
44100	44420	Yes.
45720	47480	It's a Rubik's Cube.
47680	48660	It's a constellation.
50240	57260	It is a variety of investigations with different hardware, software, and mines on them to exploit in different ways.
58000	61160	Working on a craft is different than working with a craft.
62440	66380	Do you think we get another Bob Lazar coming out near term?
66440	67780	We almost got it, and he's dead.
70720	77100	Matthew Sullivan was, fact, going to testify two weeks about before he died, I think.
77100	82700	And that's why people and the FBI are investigating if his death was suspicious.
84360	92600	Somebody you know worked on the reverse engineering of a laser weapon system from a downed Russian asset.
92780	93640	This is an N-H-I asset.
93680	94500	Last name, start with T.
94960	96480	We're not playing that game in front of the camera.
97840	99100	I'm going to crack a beer for this part.
99220	100860	I wanted to have a drink with Jesse.
100920	102220	He's got water because he's an alien.
102220	106160	So this is back and forth, rapid fire.
106300	106460	Okay.
106900	110640	Are you independent or are you controlled?
112380	113820	Bro, let's not get into it, right?
113920	114800	You said you don't want to.
114900	115140	Okay.
115680	116420	So let's not.
116500	117300	We can if you want.
117880	118140	Bro.
119040	120600	This is going to be so awkward for your audience.
120600	148400	Before we dive into this wild episode, I want to give a huge thank you
148400	150720	to one of today's sponsors, Dose.
150920	155160	Dose for your liver is an extremely high quality, drinkable supplement.
155420	157060	It tastes absolutely delicious.
157400	158320	It makes you healthier.
158500	160340	And all you have to do is take it once a day.
160560	164120	I love nerding out and finding the best new health and wellness hacks.
164320	168940	And it's super easy to overlook the biggest internal organ in your body, the liver.
169360	172140	It's your body's most metabolically active organ.
172380	175640	It runs over 500 functions every single day.
175640	177760	It processes everything you consume.
177760	182840	It detoxes you daily and it supports your energy levels and your digestion.
183300	187180	A lot of people with bad guts actually don't realize it's linked to their liver health.
187340	191880	What I appreciate about Dose is that they actually have serious research behind it.
192340	197820	Two double-blind placebo-controlled studies showing positive impact on liver enzyme levels
197820	199020	and liver function.
199560	202620	Having data like that is very rare in the supplement space.
202720	205100	And it's the reason I was comfortable working with them.
205100	208460	No pills, no powders, and no icky taste.
209000	212220	Just a two-ounce shot that tastes like tangy orange juice.
212680	216060	It's simple, effective, and super easy to build into your routine.
216440	222920	New customers can save 35% on your first month of subscription by going to dosedaily.co
222920	226640	slash jesse or entering jesse at checkout.
227140	237260	Again, that's D-O-S-E-D-A-I-L-Y dot C-O slash jesse for 35% off your first month subscription.
237840	238780	I love this product.
238960	241200	I want to thank Dose so much for sponsoring the show.
241320	243360	Now back to today's episode.
245260	247420	Jeremy Corbell, Jesse Michaels.
247420	252700	This is an honor, and it's been a long time coming, and I'm just so grateful for you coming on the show.
252880	253600	This is really cool.
254040	256720	You need no intro, but I'm going to give you one.
256860	257120	Okay.
257540	263880	You broke the OG original whistleblower of the UFO reverse engineering program.
263880	271440	The guy that did it in, you know, there are guys before him like Bill Ewhouse, but in the most credible, thorough way, and that's Bob Lazar.
271620	279260	You made an amazing documentary about him and covered it as thoroughly as anybody, obviously, working closely with George Knapp, who broke the story.
279420	281080	I was going to say, I did not break that story.
281160	281420	I know.
281420	295200	The story got broke because Bob was about to get broken by opposition, and George Knapp not only broke that story with Bob, but he carried it along the way, making sure his reporting was accurate to this motherfucking day.
295320	295860	That's right.
296000	296860	Can I say those words?
296920	297780	You can say those.
297800	298680	You can say whatever you want.
298760	299760	We broke the fuck barrier.
300280	300960	We did.
301680	305260	And you and George are close collaborators, longtime colleagues.
305360	309280	He's called them your mentor, and you guys both host the podcast Weaponized.
309360	310600	Everybody should check that out.
310600	314200	So, on Weaponized, you've broken some amazing stories.
314320	316160	Matthew Brown, I want to get into.
316340	317820	I want to get into Dylan Borland.
318280	330180	I want to get into another person who breached the hull and walked into a UFO, not in some sort of liminal state in a dream, but in presumably a hangar, an aerospace hangar in Jim Lekatsky.
330720	340000	So, you've broken some of the most incredible, interesting stories when it comes to UFOs, and I'm very excited to speak to you today.
340600	341660	Thank you so much, Jesse.
342600	343540	I'm excited to speak to you.
343640	347160	There are things that people don't know, background things, that I think will be really interesting to people.
