start	end	text
0	5920	What we discovered is the probability that any sensory system has ever been shaped to see any
5920	11700	true feature of objective reality. When you do the math, the answer is zero. Exactly zero.
13220	17780	Well, you realize you're making a very bold claim. Embodied consciousness, consciousness
17780	24760	existing inside bodies, is the exception to the rule. Detachment from the five senses actually
24760	27880	allows you greater knowledge. A good example being near-death experiences.
27880	34580	The amount of things that we don't see in reality, we don't see electric fields. The 8 million
34580	40380	species are just the 8 million species that it's adaptive for our survival to see. How do we then
40380	47260	try to triangulate and figure out what true reality actually is? To date, science cannot answer that
47260	55820	question. There are an infinite number of alien intelligences. Our headset gives us a very, very,
55820	62520	very tiny peak at this. And the recursive trace logic gives us a mathematical framework to begin
62520	69220	to understand exactly how our space-time headset is built, how it can be hacked. Whoa!
69220	75020	So it's an infinite scale of consciousness. That's right. Not in just one direction. In an infinite number
75020	79620	of different directions. So this is when we get to the UAP kind of stuff. The craft seems to be here,
79620	84920	and then it goes Mach 40. To me, it's like... When you're poking at the boundaries with your
84920	90380	consciousness or with high-energy physics, you see these entities and you see these UFOs.
92120	95620	Do you think we're on the verge of a scientific revolution?
95620	100020	If we prove those conjectures are true, then I think it's the game-changer.
102120	110280	The ignition sequence 5. How is this possible? Nothing too unusual about that.
112160	115260	The existence cannot longer be denied.
115260	129980	We've talked a bit about longevity and life extension on this show. Extending your telomeres,
130400	135920	metabolic optimization, and the through line is always the same. Most of what determines how long
135920	141780	you live comes down to really basic stuff, not these more exotic treatments. I think about that
141780	147580	sometimes when I realize it's 10 p.m. and I haven't eaten all day because I was deep in prep for the
147580	152160	next episode, which is kind of the story of my life since I moved to Austin. Occasionally, I'll be so
152160	157260	deep in work that I'll forget to eat, and then I end up demolishing whatever's closest at midnight.
157640	163900	Guys, this solution is amazing. It's a game-changer for anyone who's busy. Meals show up ready to go.
164040	168680	You heat them up in two minutes, and they're actually made with real food. Lean proteins,
168680	175360	whole ingredients, no seed oils, no refined sugar. Over 100 options that rotate weekly. I've been
175360	180180	doing it for a bit now, and it is embarrassingly simple. I'm not a great chef. I don't like
180180	185080	overspending every day on delivery. I really don't know why I waited so long for this.
185220	196440	Head to factormeals.com slash alchemy50off and use code ALCHEMY50OFF. That's ALCHEMY50OFF to get
196440	202580	50% off and free breakfast for a year. The offer is only valid for new Factor customers
202580	208080	doing an auto-renewing subscription purchase. Do yourself a favor now. Make healthier eating
208080	209380	easy with Factor.
210380	213580	All right, Don Hoffman, thank you so much for being here. It's an honor.
214120	215300	Thank you for having me, Jess. It's great.
215580	221960	I've seen a lot of your podcasts, and I've now read your book. And you have this incredible theory
221960	228220	where it's not adaptive for us to see reality. And it's this idea of fitness beating perception.
228680	234420	For the people who are unfamiliar, can you give a little bit of a summary of what you mean by that,
234520	240460	what that is? And then I want to delve off into way crazier territory than any other podcast has
240460	240960	taken you.
240960	247480	Okay. The standard idea that we have about evolution and our perceptions of the world is
247480	254800	that evolution has shaped us to be fit. And to be fit, we should probably see the truth,
255400	261060	right? If I see a train, I should really know that there really is a train and I won't step in front
261060	269040	of it. If I see a cliff, I shouldn't jump off. So it would be fit, we think, to have evolution
269040	275520	shape our sensory systems to see reality as it is. Maybe not all of reality, but most of reality
275520	285160	that we need. That would be a standard intuition. And there are mathematical tools now. So when
285160	291160	Darwin wrote his theory, he did it based on his fieldwork and his own brilliance and came up with
291160	297260	this evolution by natural selection idea, which is brilliant. But it took another century before we
297260	301800	turned it into mathematics. John Maynard Smith turned it into mathematics, evolutionary game
301800	307100	theory. So we could actually now ask technical questions. We don't have to sort of speculate.
307280	314700	We can actually run games or prove theorems. And so I and my graduate students and collaborators have
314700	322740	done both testing this question. On Darwin's theory, what is the probability that evolution would shape
322740	330940	any sensory system of any sensory system to see truths about the world? And I went into it expecting that
330940	338760	we would maybe not see all the truth, but we would see some of it and so forth. But what we discovered
338760	348320	was that evolution does shape us to see whatever will make us fit. And that does not mean at all
348320	355280	that we're going to see the truth. In fact, what we discovered is the probability of zero that any sensory
355280	360660	system has ever been shaped to see any true feature of objective reality. Precisely zero.
361120	369340	Can you give us a super concrete example of an organism actually not seeing reality and that somehow being
369340	370860	adaptive for its survival?
371320	377200	Yes. So there's plenty. Almost all of our sensory experiences are of this type, as it turns out.
377200	382260	So when you see colors, for example, you're not seeing the electromagnetic spectrum,
382620	388740	the actual wavelengths of photons and so forth. You're just collapsing that into something that
388740	396860	we call colors, red, green, blue, yellow, and so forth. When you taste various kinds of foods,
397480	405960	you're not getting a chemical, you know, this is C2, H3, whatever. You are getting what we would call
405960	414460	an experience of taste. And so the way I think about it is that what you've got is not a window
414460	425280	on reality. It's more like a desktop on your computer, for example. So in a desktop, you'll see
425280	430220	that there are icons on your screen. There might be a blue folder in the middle of your screen
430220	437260	for some file that you're working on, some paper. But that doesn't mean that inside your computer,
437360	441460	there's something that's really blue and rectangular in the middle of the computer, right? Just because
441460	445340	it looks like that on your screen doesn't mean that that's reality. Inside the computer, there's
445340	451640	nothing blue. There's no folder. There are just bits. There are, you know, voltages that are being
451640	458500	toggled millions of times a second in a particular pattern. And that is hidden from you. That is way too
458500	463740	complicated for you to deal with. If you had to toggle bits, you could never write your paper,
463920	468880	for example, or edit your photo. So you don't want to toggle bits. You need to have eye candy
468880	474180	that dumbs things down. And so that's what evolution has done for us. It's given us, you could think of
474180	480860	it as like a desktop interface. So there's, whatever reality is, is quite complicated. You just need to
480860	486860	know how to interact with reality in a useful way to do what you need to do. Like in the case of the
486860	494940	desktop analogy, to edit a photo, to write a paper, whatever it is that you're doing. And so it would
494940	502460	actually not be fit in the computer analogy to have to toggle the voltages to write a paper. If you had to
502460	508800	toggle voltages to write a paper, someone who didn't have to do that will beat you to the deadline, for
508800	513680	example, and getting a paper done. So, so that's what evolution has done for us. It is basically
513680	518400	hidden all of reality that we don't need to know about.
518820	524280	Well, the implications of what you're saying go even deeper because a desktop interface is built
524280	525580	for us. Right.
525680	530960	And so we, as the agents sort of using the desktop interface, you know, the person who built it,
531020	536620	you know, maybe Steve Wozniak originally or something would say, it's not adaptive for a person to know
536620	542940	how, you know, logic gates and, and bits work and semiconductors work. So we're going to iconize all of
542940	548180	this. We're going to compress these things and abstract all of this into symbolic logic that a person can
548180	554180	understand. And in reality, it would work the exact same way. We wouldn't be able to manipulate
554180	561120	reality in many cases. For example, like you said, you know, seeing the electromagnetic, you know, wave
561120	567660	spectrum, uh, of, you know, photons that that's not super helpful. You'd want to iconize the thing,
567720	573460	say, say, oh, that's red. I'm bleeding, you know, and then you, you can instantly react.
573860	577780	Exactly. And the same thing with like temperature, you don't need to know the absolute temperature.
577780	581780	You just need to know if it's too hot for me, too cold for me, or just right for me. That's all you
581780	589300	really need to know. So you, it's, so it's really evolution shaped us to have just the parameters we
589300	594980	need, the sensory inputs we need to make the actions that will keep us alive long enough to
594980	599280	reproduce. So that's the key thing is just reproductive fitness. And then there's one
599280	605520	key difference in this analogy, uh, in the case of, you know, desktop computers, you have supply
605520	610180	chains where you have to scale like a repeatable process and sort of, you know, sell the same thing
610180	615720	to everybody, maybe with a few variations. In our case, there are infinite numbers of variations when it
615720	621480	comes to our genetics and our phenotypes. And so we're all sort of seeing a very different local
621480	625580	reality based on our own kind of idiosyncratic perceptive apparatus.
626120	630700	Absolutely. There are remarkable cases of that. So, so for example, there are some men who are
630700	636040	dichromats. So they only have two color photoreceptors instead of the normal three, but even more
636040	640480	interesting are women who are tetrachromats. So they have four color receptors, not just the three
640480	645940	that would norm. And so these women actually see colors that no man could even imagine. No man has
645940	651360	ever seen them. No man can even imagine what these women are experiencing. And, and so, yeah, there are,
651600	656640	there's lots of variations in the headset or in the, um, you know, in the interface that evolution
656640	661160	and, and from an evolutionary point of view, you want to sort of tinker with the interface. You do try
661160	668740	things. Um, there are, you know, people who are synesthetes, um, who actually blend colors and shapes
668740	675040	in ways that we don't normally do that. And, and so there, so this one guy, everything that he tasted,
675040	683420	uh, Watson, a guy named Watson, I think, everything he tasted with his mouth, he also, uh, saw things
683420	691220	and, and he could feel things. So he could, he would have a sensory thing with his hands. And so he
691220	696300	actually was a great cook because he had this extra way of, you know, relating to the cooking and the
696300	700780	tasting. He didn't just taste it. He could say, you know, although this thing has too many dents and
700780	705880	bumps in it or something like that. And, and, and, you know, maybe that one will, that adaptation
705880	710600	will, will carry on or maybe, maybe not, but each, you know, it tries a lot of different things.
710600	719940	But, but the big idea is that evolution shapes you to be successful at reproducing, period.
719940	727600	And seeing the truth gets in the way. Having an interface that guides adaptive behavior is
727600	732800	exactly what you need. Now, I should say, I'm by no means the first to say this kind of thing. I
732800	738480	would tip my hat to a good friend of mine, Steven Pinker, who wrote a paper, um, so how does the
738480	744500	mind work? In which he makes this very same kind of point. Um, I think the place where, where Steven
744500	750100	and I may differ is I I'm taking it and saying, even what we call physical objects in space and
750100	754600	time, everyday physical objects there, I think he would disagree with me. So that would be a fun
754600	764280	conversation, but I'm saying even this cup is just an icon. It's not, there's nothing about objective
764280	771140	reality that corresponds directly to a cup. This is, this is the cup to reality is just like the blue
771140	777360	folder on my desktop to the bits in the computer that, that I'm dealing with. So it's that abstract
777360	783240	a relationship. Don't a lot of babies have synesthesia up until six months as well. The
783240	787900	sort of association of colors and sounds. There, there may be some evidence for that. That's not
787900	793120	my areas, but, but yeah, I think there, there is some evidence. Synesthesia does of course carry on
793120	798480	later on for a lot of people. So, but it's, yeah, it's, um, I actually don't know the case for the,
798480	803600	for, for babies. I don't know if you know about this phenomena, but, um, the CIA also studied
803600	808880	psychic spies for 30 years or for a little bit. Yes. Officially for 23 years, they probably are
808880	812660	still studying this stuff, but there was a program called Stargate. It went under a couple of different
812660	819660	names. Apparently a lot of the remote viewers are synesthetes as well. Interesting. Yeah. So I don't
819660	826040	know what that means, but that is the mixing of the senses. Yeah. You have to ask what, what does the
826040	832400	evolutionary, for example, adaptation good for if you're having synesthesia and so forth. Also,
832540	838760	there are autistic kids who seem to have all sorts of unusual abilities as, as well, which is, again,
838820	843440	you could ask about an evolutionary count of that, but I haven't actually looked at that, but they do
843440	848840	seem to have sensory systems that are very different than, than normal people. Yeah. It seems like,
848840	853920	yeah, there are these nonverbal autistic children. It seems like they have different epistemic
853920	860420	circuitry or something, or in certain cases, maybe where one sense goes, another gets heightened
860420	866840	or something. Right. Because they're nonverbal, maybe, you know, what we call intuition and the rest
866840	872440	of us is heightened. But in fact, it doesn't even, it seems like more than intuition. It seems like a
872440	881020	way to gather knowledge that works around the five senses. Right. You'll put a mother in, you know,
881140	886620	another room of one of these children, they'll be blindfolded and, you know, totally separate room.
886620	893000	You'll have random images generate on an iPad for the mother. And, you know, 19 out of 20 times,
893080	896820	they're like describing what the mother is seeing. And from my understanding, I think some of this
896820	902280	stuff has to be done a little more rigorously if you want to apply the real, you know, true scientific
902280	908120	method to it. But I also think there's like an overwhelming amount of anecdotal data and, and
908120	911040	there probably is something there. And it's, it's fascinating.
911040	917700	It is. I've seen those studies in which the autistic child who can hardly even control their
917700	924920	body is able to read what's in their mother's mind. And I've looked at the design of the experiments
924920	931560	and they seemed in certain cases to be pretty rigorous. And these kids were not just sort of
931560	936160	guessing the numbers, they were pounding them out as fast as they could and getting it exactly right
936160	940580	in dozens and dozens of trials. And so that's the kind of thing that you, that's the kind of data you
940580	947020	have to take quite seriously. And, and you're going to need a pretty serious theory outside of the
947020	952660	normal space-time physics kinds of theories, I think, to try to explain that kind of, of a non-physical
952660	953240	connection.
953520	959080	Well, it seems like a pattern being disembodied and actually gaining greater knowledge because of
959080	964560	your disembodiment. So your detachment from the five senses actually allows you greater knowledge.
964820	969900	A good example being near-death experiences where people say that they floated around the room or like
969900	974260	learn certain things that they couldn't know if they were housed in their body. So it's almost
974260	981720	like the body is a collapsing function on a greater state of default, higher knowledge.
981980	988540	Absolutely. And I'm working on a mathematical model that predicts precisely that. So I've got a model we
988540	991440	can talk about that I call the recursive trace logic.
991760	992040	Whoa.
992040	997840	And I just discovered in the last two or three weeks that it does, this model does predict that
997840	1004000	embodiment is a special case, that the normal case for consciousness in this framework is not to be
1004000	1012480	embodied. So we're, we're sort of stuck in one of the more rickety kinds of interfaces, the more,
1012480	1019480	more limit, limiting kind of interface. And, but the mathematics makes it very, very clear that
1019480	1025720	embodiment is not at all required for this. In fact, it's in this mathematics, it's measure zero,
1025840	1030880	probability zero. So there, the idea would be that of all the kinds of consciousnesses that are out
1030880	1035600	there, the ones that have to be embodied are probability zero, which is, which blew me away.
1035640	1038280	And that's just been two or three weeks ago that I found it in the mathematics.
1038280	1043680	That's fascinating. And it dovetails with a lot of religious stories around the quote unquote, fall of man.
1043680	1050880	Yes. Yeah. It's, it's, it's, it's blowing me away. So I've only had this, this mathematics
1050880	1058520	for about three weeks and it made me rethink this, this whole, the whole thing, because
1058520	1066280	why it's very, if you think about it, when you're embodied, you can't just mean, if I want this cup
1066280	1072400	to be over there, I can't just sort of sit here and go and make it do that. I just can't do that.
1072400	1076100	I have to, what do I have to do? There are certain things that I can control.
1077280	1082960	Fingers, toes, legs, there's very, very little. If you think about it, there's very little that
1082960	1089140	I control my mouth, my head, my, all the things we call our body. That's it. If I want that cup
1089140	1095900	to go somewhere, I have to do things with my hands intelligently to make that other thing happen.
1095900	1104060	Yeah. And then, so, but that's one of the restrictions of embodiment is that to get
1104060	1113120	things, we can go to the moon. We can send probes to Mars, but to do that, we have to be exceedingly
