start	end	text
1000	6000	I've always believed there had to be a better way to move an object from point A to point B.
6000	7000	There just had to be.
7000	10000	So I spent two decades looking at hidden momentum.
12000	17000	You do think you've discovered a propulsion mechanism that can get us interstellar travel.
17000	20000	I take those lifters and I put them in a plastic box and put it on a scale.
20000	24000	You turn it on, the thing lifts up, and the weight flatlines. It does not move at all.
24000	29000	Still about 200 micronewons of force still inside.
30000	33000	How many variations of this experiment do you think you've tried?
33000	35000	We are close to 2,000 test articles.
35000	37000	2,000 instances of the experiment or 2,000?
37000	39000	No, 2,000 variations.
39000	40000	Holy shit.
40000	43000	Two test articles. Each one is tested multiple times.
43000	48000	If you were to apply that to like a satellite in space in a zero gravity environment.
48000	51000	It would accelerate with the power off.
51000	54000	Can't explain that to the scientific community. I just can't.
54000	59000	The idea that you could just charge it up and leave it there and it gets thrust like it hurts my brain
59000	61000	to even imagine how is that possible.
61000	64000	These are very weird things.
64000	67000	It's like you create this thrust mode that just keeps going.
67000	69000	I don't think I'm banning space time.
69000	70000	Man!
70000	72000	The New York Times
72000	79000	For over a century, humanity's journey to the stars has been held hostage by a simple, unyielding truth.
79000	81000	Newton's third law.
81000	85000	For every action, there's an equal and opposite reaction.
85000	93000	It's the law that powers every rocket, every satellite, every probe we've ever launched.
93000	97000	And it's also the law that keeps us trapped here on Earth.
97000	104000	In order to get to the closest habitable planet in our very own Milky Way galaxy, a place called Proxima Centauri B,
104000	109000	it would take you 50,000 to 80,000 years in a chemical combustion rocket.
109000	112000	You would die before even getting 1% of the way there.
112000	116000	And if you somehow figured out a way to live for thousands of years,
116000	122000	by the time you came back to Earth after a trip like that, it would be totally unrecognizable.
122000	125000	You'd be playing out the ending of the Planet of the Apes.
125000	127000	You maniac!
127000	130000	To go anywhere in space, you have to carry fuel.
130000	132000	Massive amounts of it.
132000	137000	Over 90% of any rocket's mass at launch is just propellant.
137000	138000	Pure fuel.
138000	142000	Burned and ejected out of the back to push the remaining 10% forward.
142000	151000	Launching a rocket to get a satellite into space is like flying a fully loaded 747 to deliver a suitcase.
151000	156000	One of the challenges we have to solve is orbital refilling, where we dock on orbit and transfer propellant.
156000	161000	The modern king of rocketry and Mr. Occupy Mars himself, Elon Musk,
161000	166000	has publicly stated that Newton's laws are the end-all be-all for space travel.
166000	169000	For some reason, he's quite adamant about that.
169000	172000	There's no way around Newton's third law, really.
172000	176000	You basically have to expel mass.
176000	181000	The original godfather of American rocketry, Jack Parsons, believed this as well.
181000	188000	In 1936, he and some colleagues at Caltech began launching the first rocket tests in western Pasadena.
188000	194000	But what most people don't know is that a decade before Jack Parsons, in the 1920s,
194000	200000	there was someone else at Caltech with some very different ideas for deep space travel.
200000	201000	Townsend Brown.
201000	202000	Townsend Brown.
202000	203000	Townsend Brown.
203000	204000	Townsend Brown.
204000	205000	There's a guy named Townsend Brown.
205000	207000	Okay, okay, Townsend Brown.
207000	212000	Brown had stumbled onto something that mainstream science still refuses to acknowledge.
212000	215000	A possible break in Newton's laws.
215000	216000	A new force.
216000	222000	Or perhaps, a way to manipulate gravity itself with electromagnetism.
222000	228000	Unifying these two fundamental forces has been the holy grail of physics for the last century.
228000	231000	What Einstein died searching for.
231000	240000	Townsend Brown discovered that when you apply a high voltage to certain asymmetric capacitors, they produce thrust.
240000	241000	No fuel.
241000	242000	No exhaust.
242000	243000	No propellant.
243000	245000	Just electricity.
245000	247000	Converted directly into motion.
247000	252000	A new model for space propulsion that could eliminate crude chemical combustion forever.
254000	258000	Brown called his antigravity work, electrogravitics.
258000	260000	Meanwhile, physics textbooks called it impossible.
260000	267000	And because of that, he was dismissed, ridiculed, and eventually erased from the official story of physics.
269000	278000	But if you dig a bit deeper and read his incredible biography by Paul Shatzkin, you start to piece together a very different picture.
278000	282000	One in which Townsend Brown isn't easily dismissed as an amateur quack.
282000	287000	In fact, his work was witnessed by the highest levels of government and military.
287000	290000	Now we're getting some interesting territory.
290000	295000	People like notorious Air Force Chief of Staff Curtis LeMay, who courted Brown constantly.
295000	299000	People like Edward Teller, the father of the hydrogen bomb.
299000	302000	Bill Lear, the founder of the first private jet.
302000	306000	And Agnew Bonson, founder of the Institute of Field Physics at North Carolina.
306000	316000	A lieutenant colonel from Wright Airfield, who went on to become a general named Victor Bertrandius, witnessed Brown's gravitator experiments in Los Angeles in 1952.
316000	321000	He was quoted as saying, believe it or not, I think I just saw a flying saucer.
321000	323000	And it frightened me.
323000	340000	And if that's not all, we have audio of a deathbed confession from French aerospace executive Jacques Cornillon, who witnessed Brown's successful experiments in a vacuum chamber in 1956 in Paris, explicitly stating he witnessed a positive result.
340000	344000	So that was a positive result.
344000	352000	This is to go along with an 120-page report around that specific experiment that's widely available online today.
353000	359000	Nonetheless, stigma, tech protection, and scientific suppression are all very real.
359000	364000	Brown's work is still likely classified by the Navy to this day.
364000	368000	Over the last 70 years, Brown's experiments never went away.
368000	370000	They just went underground.
370000	382000	They've been replicated all over the world in places as far as Japan, but usually by persistent hobbyist teams or aerospace engineers stringing some funds together and operating out of pure passion.
382000	393000	But in deep black American aerospace, I believe Brown's work still exists in the form of whispers and vital sub-compartments, where it gets explored further.
393000	396000	Okay, so that's the backdrop.
396000	398000	Newton has us stuck on Earth.
398000	403000	Industry titans like Elon can't be bothered to explore new propulsion modalities.
403000	408000	And Townsend Brown is a total ghost relegated to quacky UFO circles.
408000	410000	That is, until today.
410000	424000	Inside a quiet lab in Florida, NASA's lead electrostatic scientist, a man named Dr. Charles Buehler, has been running the same gravity-altering tests as Thomas Townsend Brown.
424000	429000	When we see about 0.1 grams, that corresponds to about one millinewton of thrust.
429000	439000	Only this time with modern instruments, more rigorous controls, and decades of electrostatics expertise from his work at Kennedy Space Center behind him.
439000	442000	And what he's measuring is thrust.
442000	445000	Real, repeatable, directional thrust.
445000	450000	No combustion, no reaction mass, the future of space travel.
450000	451000	We say we have an energy crisis.
451000	452000	Oh my God, the energy crisis.
452000	457000	Well, it could be considered an energy crisis, but it's really a force crisis.
457000	459000	It's a transportation crisis.
459000	461000	How do you get an object from here to here?
461000	469000	At his company, Exodus Propulsion Technologies, Buehler isn't just replicating Townsend Brown's work.
469000	476000	He's validating it, scaling it, showing literal weight loss on scales due to upward thrust.
476000	479000	Again, Buehler is not some mid-level guy at NASA.
479000	484000	He's the lead electrostatic scientist in the entire agency.
484000	488000	And you're also, I believe, about to be the president of the Electrostatics Society, too?
488000	489000	That's correct.
489000	496000	And he's contributed two fundamental principles to the field of electrostatics that are now widely accepted.
496000	500000	The question is no longer whether the Bifield-Brown effect is real or not.
500000	503000	The question is, where could this lead humanity?
503000	505000	How can we scale this up?
505000	508000	And what is the theoretical physics behind it?
508000	514000	On this last question, Charles goes deeper on this show than he has in any other interview
514000	519000	on his own quantum electrodynamics-based theory around how this force works.
519000	525000	And I brought in my friend, a brilliant MIT-trained physicist named David Chester,
525000	527000	to help stress test and sharpen Buehler's theory.
527000	531000	What happens when propulsion no longer requires fuel?
531000	534000	When the tyranny of rocket equations finally breaks?
534000	539000	Without further ado, please welcome this week's amazing American alchemist,
539000	544000	NASA and Exodus Propulsion's very own, Dr. Charles Buehler.
544000	547000	The ignition sequence size.
547000	550000	How is this possible?
551000	553000	Nothing too unusual about that.
555000	558000	David, existence cannot longer be denied.
558000	572000	Before we continue, I want to take a second to thank one of my favorite products in the world,
572000	575000	Ketone IQ, for sponsoring today's episode.
575000	582000	Ketone IQ is one of the very few things I use that gives me clean, sustainable energy without the crash.
582000	586000	It's just this little shot, and I take a drink, and I feel like I'm on fire.
586000	590000	No ups, no downs, no nervous system weirdness.
590000	592000	Just clean, clear mental energy.
592000	593000	The reason it works is pretty simple.
593000	600000	It gives your brains ketones, which are almost by definition its most efficient fuel source.
600000	603000	Instead of pushing your system, it actually feeds it.
603000	606000	In fact, your body endogenously produces ketones.
606000	612000	So when you drink this, it supports deep focus, long conversations, and sustained mental performance.
612000	620000	It was originally developed through a multi-million dollar military program designed for high-stress environments where cognitive performance really matters.
620000	626000	And today, it's used by founders, researchers, podcasters like myself, and people who need their mind to work when it counts.
626000	630000	I always take a sip of one of these things before long podcasts.
630000	636000	This product is also really personal for me because I've known the founders, Jeff and Michael, for over a decade.
636000	642000	These guys are awesome, and for as long as I've known them, they've tried every supplement, biohack, and nootropic under the sun.
642000	647000	So it was a pretty good signal to me that they decided to start a company around ketones.
647000	655000	I use Ketone IQ regularly, it's like a mental cheat code, and it's genuinely one of the cleanest energy sources I've ever found.
655000	662000	So before we get back into the episode, please visit ketone.com slash alchemy for 30% off your subscription order.
662000	664000	Plus receive a free gift with your second shipment.
664000	669000	Again, that's ketone.com slash alchemy for 30% off your order.
669000	674000	Or you can find Ketone IQ at Target stores nationwide and get your first shot free.
674000	676000	Seriously, this stuff works.
676000	680000	Thanks so much to Ketone IQ for sponsoring today's episode.
680000	686000	Everyone talks about the Bermuda Triangle, but no one warns you about its colder, weirder cousin.
686000	692000	In the heart of Alaska lies the Alaska Triangle, where planes disappear, hikers vanish,
692000	697000	and the only thing that shows up reliably is my Wild Alaskan Company seafood box.
697000	699000	I'm being serious here, guys.
699000	704000	I definitely don't trust flying over portals, but I do trust this fish.
704000	705000	Most seafood?
705000	711000	I can't even look at it without wondering if it was farmed in a glowing vat near a nuclear power plant.
711000	716000	But this fish, 100% wild caught, flash frozen off the boat,
716000	721000	delivered straight to my door like it teleported through one of Eric Davis' wormholes,
721000	725000	and it still tastes better than just about anything your cousin microwaves.
725000	727000	No antibiotics.
727000	728000	No additives.
728000	730000	No fish farm sludge.
730000	732000	Just real fish.
732000	736000	Coho salmon, Pacific halibut, and my favorite, the sockeye salmon.
736000	738000	Not all fish are the same.
738000	740000	Get seafood you can trust.
740000	748000	Go to wildalaskan.com slash jesse for $35 off your first box of premium wild caught seafood.
748000	754000	That's wildalaskan.com slash jesse for $35 off your first order.
754000	758000	Thank you so much to Wild Alaskan Company for sponsoring this episode.
758000	765000	I'm here with Charles Buehler, who this is a holy grail interview for me.
765000	770000	I'm like a kid on Christmas because it's been like the search for Buehler.
770000	776000	Ever since, you know, we connected a couple years ago because I made this Townsend Brown documentary.
776000	782000	And as you know and my audience knows, I am obsessed with this mid-century inventor, Thomas Townsend Brown.
782000	790000	I think he found a real force that lies outside of either the four fundamental forces, might have merged gravity and electromagnetism.
790000	791000	I don't quite know.
791000	798000	But something that transcends kind of our chemical combustion modalities that will take us interstellar.
798000	805000	And as soon as I came out with that, a bunch of people hit me up and they're like, you got to talk to Charles Buehler.
805000	808000	He's the lead electrostatic scientist at NASA.
808000	819000	And he's been doing this experiment, but his own kind of version of it, his updated better version of it in a vacuum chamber he's had access to for a decade plus.
819000	821000	And so we connected a little bit.
821000	823000	We kind of fell off.
823000	825000	I'm so grateful to have you here now.
825000	827000	It's just a total honor.
827000	833000	And you're also, I believe, about to be the president of the Electrostatic Society, too.
833000	834000	That's correct.
834000	842000	So you have the credentials to say, if you're saying that we found another force, you have as good of credentials as anybody.
842000	843000	Is that right?
843000	845000	I mean, don't be humble.
845000	847000	It's not for me to say.
847000	852000	I think I know enough about electrostatics to say that, but we're always still learning.
852000	855000	What's your current job title?
855000	862000	So I am the lead scientist of NASA's Electrostatics and Surface Physics Laboratory, part of Swamp Works at Kennedy Space Center.
862000	870000	So before I go on, I have to diverse to make everyone aware that this is not affiliated with NASA, any of this work that we're doing.
870000	871000	Absolutely.
