start	end	text
0	5600	All these people conducting the seance were bringing in these nine, maybe extraterrestrial
5600	11020	beings, maybe beings that go to the nine Egyptian gods, but it's like a council.
11920	15120	He really was a genuine believer.
15700	21380	I'm Andrea Pujaric. I'm a physician by training, a research scientist by choice.
21940	25140	We have tape recordings of him meditating in the king's chamber.
25360	25660	What?
25760	29640	And they brought through this information. Apparently they're channeling this Egyptian god.
29640	32680	And there are nine, there are specifically nine Egyptian gods.
33780	38000	So he gets this called metallic voice. That was some sort of, you know, alien intelligence.
39760	43720	This is what, you know, you hear a lot about this with the UFO abduction stuff.
43820	47480	Like these, these people like weren't looking to be in the spotlight.
47700	54800	It took about two years for me to basically earn the trust of these space kids.
54920	56820	It's like stranger things in real life.
56820	63540	You know, one neat solution that would explain everything away would be mind control, right?
63880	67660	Delgado, implanted radio receivers in the heads of bull.
68020	70180	Delgado has remote control of the animal.
70180	74220	You have a guy who's being able to play the bull like a video game.
74220	80720	I'm revealing for the first time a lot of things that even my closest working colleagues do not know.
81820	84680	There's reason to believe Buharic may have been a double agent.
85140	85760	He says it.
85980	86280	Really?
86420	86620	Tape.
86620	93160	This is one of the craziest interviews I've ever done, man.
96160	98480	The glistening sequence size.
99940	101540	How is this possible?
102840	104440	Nothing too unusual about that.
106620	109400	The existence cannot longer be denied.
109400	120020	I'm here with Greg Malazzi.
120320	121780	This has been a long time coming.
121880	124720	We've had a lot of interesting offline conversations.
124720	138680	You made an amazing documentary called Mind Traveler about this very mysterious mid-century scientist named Andrea Puharic, who is like this zealot of American conspiracies.
138680	154860	He's this architect of MKUltra and early CIA mind control techniques, but also seems to be channeling aliens through what he calls the space kids, this like collection of kids who he recruits who are psychic.
155740	159040	He's the inspiration for Star Trek, incidentally.
159320	164220	Like, he is one of the most interesting people I've ever encountered.
164220	170200	And you've made this amazing documentary on him, so I just can't wait to dive into this, and I appreciate you being here.
170420	171280	Oh, thanks, man.
171320	172400	I appreciate you having me.
172640	173040	Absolutely.
173760	178080	So give me a little bit about the origin story for Andrea Puharic.
178080	185780	Who is he, and how did he come to be one of these kind of renegade spooky scientists involved in mind control?
186260	190080	I guess you could start it at Northwestern University.
190620	192020	He went there.
192360	193580	He was a medical student.
193580	196160	I think he started in 47.
197120	202220	And so he was there doing all sorts of stuff with the nervous system.
202440	205080	He was very interested in that.
205440	208040	And he was doing, like, normal medical training.
208720	213520	And he was actually part of the Army Specialized Training Program.
213760	214360	Have you heard of this?
214480	214800	No.
214800	231540	It's this special program where basically they recruit students who they believe could be, you know, useful to whatever they're planning on doing in certain categories of the Army, whether it be medical, so forth.
231540	233180	He was a medical doctor.
233180	234900	And he was part of this program.
234900	235860	It's very strange.
236020	237680	Kissinger was part of this program.
238200	239800	A bunch of other weird people.
240600	242300	Kurt Vonnegut, the author.
242500	242800	What?
242800	244360	Yeah, you could look it up.
244520	245720	It's really weird.
245820	246880	So he was part of that.
246940	249360	Basically, it was like sort of a recruiting program.
249600	255680	And they saw something in him all the way back in 47 when he was a medical student.
255680	264000	And he very rarely, in fact, I've never even heard him mention this in all the stuff I've listened to and read about him.
264640	267460	So for whatever reason, you know, he didn't talk about it.
267780	274200	And that could have been his first, you know, step into that world, the military world.
274520	282640	But that happened when he was a medical student, like way before the Roundtable Foundation, the first lab he had or anything like that.
282640	286800	What did this military program, this Army program involve?
287320	291480	You can, even on Wikipedia, there's not much about it.
291520	298760	But again, I think it was more like looking at certain institutions, certain places for people who are special.
298900	305340	I mean, Army specialized training, you know, and he was considered special at that time for what he was doing.
305440	306860	And they just saw something in him.
307060	308960	And he was brought into that program.
308960	314000	I don't know what it did exactly or, you know, what, like, yeah, the day-to-day or anything.
314220	317920	But he was part of it as well as, like, again, a list of other people.
318060	319780	Like in all areas, right?
319900	323520	Again, Kurt Vonnegut, the author, like all these people were a part of that.
324240	325500	Where was he a medical student?
326300	327180	Northwestern, Chicago.
327660	330200	Which, you know, is a very prestigious school.
330600	330880	Absolutely.
331440	331760	Evanston.
331760	337380	And I think also Jalen Hynek was, you know, his astronomer, Blue Book, was Northwestern too.
337620	338120	Yeah, yeah.
338800	342480	Okay, so he's in the Chicago suburbs and he's a medical student.
342640	347520	How does he get into, like, telepathy and mind control and things like that?
347520	352780	I came up with a theory of the nervous system that I called the Puharich theory.
354140	358840	I visualized the nervous system as being embedded in the cell tissue of the body,
359340	363680	just as the roots of a tree are embedded in the ground, which gives it nourishment.
364500	368880	But the tree also has a similar network radiating into the sky.
370460	372180	Perhaps man does as well.
372620	376520	And he, too, gains nourishment through a touchless process.
376520	382080	And if dynamics can be transferred, why camp thoughts?
383840	387720	So, he was, yeah, a medical student.
388120	393520	And there's a guy also at Northwestern at the time named Warren S. McCullough.
394500	395320	Do you know who that is?
395420	395980	No, who's that?
396380	398080	You could do an episode on him.
398820	403980	He's like, you know, a Puharich on steroids, sort of, back then at least.
403980	412080	But he was this very far-out researcher into, basically, ESP stuff back then.
412180	418600	He was very interested in, like, you know, altering drugs, psychedelic drugs, mind-altering stuff.
418760	421180	For the audience, ESP is extrasensory perception.
421520	422760	Yes, yeah, yeah, extrasensory perception.
422760	425340	So, he was at Northwestern, this guy, McCullough.
426120	427360	I think I'm pronouncing that right.
427360	440680	But he sort of took Puharich under his wing and, from what I understand, was the first person who introduced him to, you know, whatever weird science, if you want to call it that.
440800	451800	Because he was one of these guys, McCullough, who would, you know, on his off time, do all these, like, strange experiments with radio frequencies and that kind of stuff.
451800	458740	And I think, like, in the academic setting, he had to, you know, put on a suit and tie and, like, not talk about that, basically.
458740	465120	But he also was very involved in intelligence stuff.
465240	477740	Like, he was always getting sort of, like, we have letters from, like, CIA and stuff back then who were kind of going to him with questions and so forth.
477860	478320	McCullough.
478380	479020	McCullough, yeah.
479080	479460	Interesting.
479780	480000	Yeah.
480000	492360	And he actually, there was an archive in, I think, it wasn't Northwestern, it was some bizarre archive I found years ago making the film.
493020	497000	And, you know, I know you had Annie Jacobson on, like, she's in the film.
497260	502320	And she was trying to find records on McCullough because, you know, it was really interesting.
502480	503760	It was part of the Puharich story.
503760	518040	And somehow we found this, like, big stash of archives of his that, again, were these letters from CIA and the Navy and everything sort of, I guess, wanting to recruit him.
518780	526460	But in those letters, there were letters from McCullough back to these agencies saying, you know, you should check this guy Puharich out.
526460	534560	Like, you know, he's, I work with him, he's young, he's very smart, and he was older, like, much older than Puharich at that time.
534620	538600	I think he was probably, like, you know, in his 70s or 80s or something.
539040	540420	So, you know, he passed on.
540660	544580	But basically that, I think, triggered Puharich to get very interested in the subject.
544580	547400	So he became almost, like, obsessed with it.
547500	558280	And he sort of had this moment back then where he's like, I'm either going to choose the traditional academic path or I'm going to choose the, you know, path of ESP telepathy.
558540	562560	And he talks very openly about, like, making that choice.
562560	570640	I was unexpectedly put in contact with Henry A. Wallace, vice president under Franklin Delano Roosevelt.
571680	578320	He was impressed by my quest for the existence of telepathy and granted me a large sum of money.
579160	586920	Additional benefactors emerged, including the heirs to two of the wealthiest families in the world, the Astors and the DuPonts.
586920	592940	I was able to get a barn. I started working in the dead of winter in 48th and in Maine.
593460	600720	We lived in a big 50-room house on the seashore, which was a lab and residence and so on.
600940	602820	It was called the Roundtable Foundation.
603660	606880	And so he opens the Roundtable Foundation.
608240	615800	So there's a lot going on with how that even opened because it's a huge lab.
615800	617080	It's like a massive barn.
617360	620940	It's on the coast of Maine, Rockland, Maine, it's called.
621280	622800	So, you know, it's this huge place.
622940	624860	He's got, like, a staff, you know.
625080	639400	And the thing with Puharich, I learned, like, he tells a different story of how the Roundtable started and how we got the money and everything to what we kind of figured out was really going on.
639420	640260	What'd you figure out?
640480	644820	Well, it was all, you know, government-funded at that time.
644820	645900	It was the CIA?
646300	657760	Uh, everyone. Army, Navy, CIA, something called the, um, something Armor Foundation that was somehow tied into the Army.
657760	665940	But, but basically any, any of those places back then, I mean, we have letters, um, uh, of, of all of them.
666060	667400	You get Army, you name it.
667520	673020	I mean, they were just, like, flocking to this place, basically giving him money to do research.
673020	677000	And this was, yeah, 49, 50, very early.
677700	678180	Fascinating.
678260	693480	And you think their preliminary interest was mind control, telepathy, anything beyond the purview of kind of normal materialist reductionist physics that might be able to be weaponized or confer a tactical advantage to the United States?
693480	707500	It's, it's, it's complex, but yes, the short answer is yes, but I think obviously there was an interest in ESP and in what he was doing and in this idea of, okay, what if this is real?
707500	714540	I mean, he speaks a lot and we, you know, we've uncovered like hundreds of tape recordings of his, um, that no one's ever heard.
714680	720160	And so, you know, he talks a lot about like, they were just obsessed at that time with like, what if this were real?
720420	721540	What are the implications?
721800	724920	What if somebody could basically remote view?
725120	730480	I mean, he was doing remote viewing and this is something like, I don't think is really out there.
730480	735500	Like way, way before SRI seventies, like we're talking early fifties.
735840	735940	Whoa.
735940	738460	He's basically doing what would be considered remote viewing.
738620	744240	Do you think Hal Puthoff was aware of Puharich's kind of foundation that he set with remote viewing?
744320	751560	Cause the story is that, you know, official American remote viewing kind of started with Hal Puthoff and Russell Targ and Stanford Research Institute.
751560	757460	It's not, yeah, I'm not trying to make bold statements, but that's just, that's not, you know, true.
757680	762160	If you look, if you're looking at it from a like research, when did this start?
762160	781760	Because we have like all of the, um, round table research, which is so much, I mean, even all the time we spent on the film, it's, I still haven't looked at it at all, but they basically detail the experiments going on, which were, you know, your classic ESP stuff, you know, like the cards, all that.
781760	786380	But no, they were doing like what would exactly the definition of like remote viewing.
786380	796940	And so, yeah, I think they were, they, you know, intelligence community, so forth, were, were just very intrigued with what was going on there.
797180	802380	So it's a combination of kind of, you know, these military factions and then these kind of blue blooded elites.
803220	803460	Yeah.
803660	804260	Sort of.
804600	808320	And, um, what exactly is going on there?
808500	814700	So who is he recruiting to do these experiments and what sort of experiments is he running at the round table foundation?
814700	822220	So, I want to take a moment to thank one of today's sponsors, Z-Biotics.
822520	825600	I've been using their pre-alcohol product for years.
825860	835900	And when the opportunity came up to work with them, I jumped at it because it's one of the few things I actually drink before a night out with friends when it's time to celebrate a special event.
836180	839940	And that little decision I make before I go out changes everything.
839940	847320	Z-Biotics pre-alcohol probiotic drink is the world's first genetically engineered probiotic.
847680	853400	It was invented by PhD scientists to specifically tackle rough mornings after drinking.
853920	855060	Here's how it works.
855420	859960	When you drink, alcohol gets converted into a toxic byproduct in the gut.
859960	866480	It's a buildup of this byproduct, not dehydration, that's to blame for the rough days after drinking.
866800	870780	Pre-alcohol produces an enzyme to break this byproduct down.
871100	878000	Just remember to make pre-alcohol your first drink of the night, of course drink responsibly, and you'll feel your best tomorrow.
878400	884440	I have Z-Biotics before my first drink of the night, and I wake up feeling totally normal the next morning.
884440	889660	As you'll know, if you're older than, say, the age of 28 or 29, is not usual.
890060	899260	So go to zbiotics.com slash jessie to learn more and get 15% off your first order when you use jessie at checkout.
899760	903960	Z-Biotics is also backed with a 100% money-back guarantee.
904520	908320	So if you're unsatisfied for any reason, they'll refund your money.
908780	910140	No questions asked.
910140	918040	Remember to head to zbiotics.com slash jessie and use the code jessie at checkout for 15% off.
919580	922600	What exactly is going on there?
922800	928980	So who is he recruiting to do these experiments, and what sort of experiments is he running at the Roundtable Foundation?
929600	935740	So, again, it started with a lot of just basic ESP stuff.
935740	942400	You know, can somebody pick up on what's written on a letter in the other room?
942820	946420	A lot of, yeah, like the card guessing.
946960	956780	And then he obviously built a Faraday cage there, and I think, you know, was one of the first people, as far as I understand, doing ESP tests in a Faraday cage.
956780	971780	Where basically he would, like, put people who claimed to be psychic in the cage, and it was his belief that that could sort of, you know, block out anything from the outside, and it would really help the psychic focus and be able to do what they could do.
971780	976300	And he had, I mean, Aldous Huxley would go to the Roundtable Foundation, right?
976540	987880	And obviously Aldous Huxley is known probably best for a lot of his science fiction work, but also, you know, the Doors of Perception, where he talks about his experience with Mescaline.
987980	998620	And then, you know, if you really get into the maybe deeper kind of architectures of his thinking, like in perennial philosophy, he's like clearly this kind of deep esotericist.
998620	1001180	And so he was hanging out at the Roundtable Foundation, too.
1001440	1002660	Yeah, they were good friends.
1002860	1015760	In fact, on Buharic's book, The Sacred Mushroom, which is how I got into this whole thing, I had read that book when I was much younger, and I was really interested in all that stuff.
1015980	1017700	And, you know, what's the book?
1018160	1019800	DMT, The Spirit Molecule.
1019940	1020540	Yeah, yeah.
1020540	1026280	Yeah, I was really into that, and I came across The Sacred Mushroom, Buharic's book, which is very interesting.
1026960	1027580	Have you read that?
1027580	1029080	DMT I haven't read it.
1029080	1031520	DMT I think I have it, but I haven't read it, yeah.
1031520	1048860	DMT The premise is basically, you know, and this was also the research he was doing at the Roundtable, was, you know, taking a certain type of mushroom, in this instance, the Amanita muscaria, you know, gives people ESP abilities, and they did extensive research on that there.
1048860	1057000	DMT But on the cover of that book, you know, Aldous Huxley gives a blurb for Buharic and calls him, you know, the greatest mind in parapsychology.
1057840	1058920	But yeah, they were good friends.
1059000	1060000	He was there all the time.
1060140	1062060	Again, very interested in what he was doing.
1062360	1065700	Really thought Buharic was, like, on to something.
1066360	1066800	Yeah.
1066800	1070300	DMT Yeah, and the Amanita muscaria mushroom is a very interesting mushroom.
