start	end	text
0	8000	It's not only a UFO library, it's about the unknown.
8000	11000	So how many countries do you have files from?
11000	16000	I don't know, I have no answer to that, but we have Japanese files for instance and Russian files.
16000	17000	Wow.
17000	25000	And they went out on the field and brought back debris from this crashed object.
25000	30000	They were standing on the other edge of this carriage.
30000	36000	And they had very tight helmets, small, small heads, and some gloves.
36000	40000	She was eight meters from them.
40000	47000	Meet Klaas Vaan, journalist, author, and one of the world's most impressive UFO researchers.
47000	50000	He's a real-life Swedish fox molder.
50000	54000	And that's because he's basically in possession of the modern X-Files.
54000	56000	I'm not kidding.
56000	62000	Since the early 1970s, Vaan has not only reported on the phenomenon for Sweden's largest newspaper,
62000	71000	but he's spent decades building, organizing, and preserving what is widely recognized as the world's largest UFO archive,
71000	73000	the Archives of the Unexplained.
73000	88000	This 16-room building houses detailed witness reports, photographs, audio recordings, radar data, video, and original first-generation documents that no longer exist anywhere else.
88000	89000	Time travel?
89000	90000	Time travel?
90000	91000	There's a time travel section?
91000	92000	What is this?
92000	93000	Brown and Burrage?
93000	94000	Townsend Brown.
94000	95000	Yeah.
95000	96000	I went to Eureka, California.
96000	97000	Uh-huh.
97000	99000	I met with this guy in his garage.
99000	102000	We packed it all together and sent it back to Sweden.
102000	109000	Behind you here is the oldest UFO group in the world, Borderlands Science Research Association.
109000	110000	What?
110000	111000	There's something very interesting about them.
111000	115000	They were new more than intelligence in certain cases in the 40s.
115000	119000	In this episode, we go over a half-century of overlooked evidence.
119000	124000	Radar-tracked objects executing impossible right-angle turns.
124000	128000	Military helicopters nearly colliding with wingless craft.
128000	130000	Sonar and radar returns.
130000	135000	And, of course, covert European UFO crash retrieval operations.
137000	141000	We discuss the Swedish ghost rocket craze of the 1940s.
141000	149000	A swarm of at least 1,400 documented rocket and cigar-shaped UFOs descending on Norway and Sweden.
149000	151000	Never landing on the ground.
151000	153000	Always plunging into water.
154000	159000	A swarm that even caused the Swedish government to form a specialized military unit.
159000	161000	Klaus Svahn isn't just an archivist.
161000	164000	He's a field investigator in his own right.
164000	169000	Interviewing experiencers and witnesses at the very center of UFO history.
169000	177000	He spent a lot of time with Betty Hill of the famous Barney and Betty Hill 1961 abduction case in New Hampshire.
177000	181000	Everybody knows about this canonical abduction story.
181000	189000	But Klaus dug a little deeper and found out that Betty, outside of her abduction, witnessed a UFO crash near her home.
189000	197000	She even recovered the debris, which she went on to bury in her backyard, where it still might be to this day.
197000	202000	I usually say that we are standing at the very top of a mountain of knowledge today.
202000	203000	Yes.
203000	209000	But the mountain is resting on this mountain that is even bigger.
209000	210000	Yes.
210000	212000	That is moving into the future.
212000	221000	This episode is one of the hardest core summaries of evidence for UFOs I've ever heard.
221000	225000	When you speak to other people, have you seen anything unnatural?
225000	226000	Yes.
226000	227000	Yes.
227000	229000	But I don't want to talk about it.
229000	234000	I brought my buddy Amar Kandil from Yes Theory to the archives and we had a blast.
234000	239000	What is your top UFO photo?
239000	246000	Without further ado, please enjoy this week's Swedish alchemist, Klaus Svahn.
246000	248000	Ignition frequency.
248000	252000	How is this possible?
252000	256000	Nothing too unusual about that.
256000	259000	The existence cannot longer be denied.
259000	269000	Class, we're back.
269000	271000	Thank you for being here again.
271000	273000	Thank you for having us rather.
273000	275000	We're at the beautiful archives of The Unexplained.
275000	281000	This is just one of 16 rooms and it's packed to the brim, full of documents.
281000	282000	Yeah.
282000	284000	And so, yeah, it's just so exciting.
284000	288000	It's like being a kid in a candy store and you've compiled all of this.
288000	289000	We started in 1973.
289000	291000	You started in 1973.
291000	293000	We've been around for a while.
293000	294000	That's amazing.
294000	297000	So you've been literally compiling things since 1973.
297000	298000	Yeah, that's right.
298000	299000	That's incredible.
299000	302000	I want to start with something you have in your hand.
302000	303000	Oh, yeah.
303000	304000	What is that?
304000	305000	This one.
305000	309000	It's a metallic, a piece of metallic.
309000	314000	It's from Sweden, an island called Väder, northeast of Stockholm.
314000	315000	Okay.
315000	321000	In 1957, two carpenters were driving their car in the middle of the night, really, because
321000	323000	they were doing some work on Monday.
323000	324000	This was Sunday.
324000	331000	And suddenly they saw this object coming from east, moving in front of the car, making
331000	339000	a U-turn and suddenly hanging in front of the car, which was totally died.
339000	345000	So the car stopped and those two guys were sitting in the car and looking at the object.
345000	350000	And suddenly it went away exactly the same way as it came.
350000	354000	So they went out of the car and took a look on this road.
354000	357000	And they found this object there.
357000	358000	And it was hot.
358000	361000	So they couldn't really hold it in their hands.
361000	362000	It was so hot.
362000	364000	So it was really burning them.
364000	366000	And the car started.
366000	368000	And they drove away.
368000	372000	After many years, this was analyzed.
372000	374000	And I also analyzed it.
374000	378000	And it's tungsten or warfram carbide.
378000	380000	This is very earthly.
380000	385000	This has every impurity that it was in tungsten in 1957.
385000	391000	But tungsten is a very good leader of heat.
391000	395000	So this should have been cold in the middle of the night.
395000	398000	So the object affected it.
398000	400000	So it was so hot.
400000	404000	So it corroborates the story of the two carpenters.
404000	405000	So it's evidence.
405000	408000	And the car couldn't have made this tungsten hot?
408000	409000	You think it was definitely the…
409000	411000	No, it was in front of the car.
411000	413000	And it's impossible really.
413000	414000	Wow.
414000	415000	And it's quite the heat to do that.
415000	416000	That's amazing.
416000	417000	So that's interesting.
417000	418000	That's fine.
418000	419000	Can I hold it?
419000	420000	Absolutely.
420000	422000	It does feel oddly, you know, very smooth.
422000	425000	But I'm sure that is also a natural element of tungsten.
425000	426000	It is.
426000	427000	It is.
427000	429000	And you have another object beside you that I brought with me.
429000	431000	Yeah, this is actually from outer space.
431000	432000	Yes, we know.
432000	433000	This is not earthly.
433000	435000	But it is prosaic.
435000	436000	What is this?
436000	442000	This is a piece of an asteroid that crashed in Arizona 50,000 years ago.
442000	443000	Okay.
443000	445000	You can still see the crater.
445000	448000	It's a big museum at the rim of the crater.
448000	452000	It's one kilometer, so it's a huge crater.
452000	454000	You can see it from space.
454000	455000	It's very, very heavy.
455000	459000	It's 99% iron and a little nickel and some other elements.
459000	460000	Wow.
460000	465000	So you can tell if something like this, and from the beginning, it was huge, of course.
465000	466000	Yeah.
466000	468000	Like a London bus or something like that.
468000	474000	If that had hit a city, of course, there were the cities 50,000 years ago.
474000	477000	But today, the city would be gone.
477000	479000	It would be vanished.
479000	480000	How much of...
480000	481000	Can I feel it?
481000	484000	How much of UFO crashes do you think are...
484000	485000	This is amazing.
485000	486000	It's so heavy.
486000	491000	How much of UFO crashes do you feel are physical events?
491000	492000	Nuts and bolts.
492000	494000	Material gets left behind.
494000	500000	You can have a crash retrieval team going looking for it and finding a thing and trying to reverse engineer it.
500000	503000	Do you think a high percentage of them are?
503000	506000	I mean, you know, we looked for one in Norway.
506000	507000	Yeah, we did.
507000	508000	There were good witnesses.
508000	510000	I mean, it landed and it sank.
510000	511000	Yes.
511000	520000	And in 1946, as we talked about the goose rockets, the military were looking for them in several different lakes around Sweden.
521000	531000	All they found were indentations at the bottom, not a single debris, not anything, not anything like that or like the weather piece.
531000	533000	So it is really strange.
533000	540000	I know that some of those UFOs, as we're talking about, could just vanish without a trace.
540000	541000	Do you know of any...
541000	543000	Because this is an interesting question.
543000	551000	I think the audience often wonders, you know, in the US, there are all these rumors of reverse engineering and crash retrievals of UFOs.
551000	556000	You know, Roswell is like the, you know, kind of archetypal example of 1947, July.
556000	557000	Yeah.
557000	565000	Um, but the crashes often seem to occur around nuclear sites, possibly because there is this sort of nuclear connection.
565000	576000	Do you know of any crash retrievals or even reported crash retrievals where vigilante citizen who's interested in UFOs...
576000	577000	Okay.
577000	578000	...goes and...
578000	581000	...finds actual material themselves?
581000	584000	Uh, not here in Scandinavia.
584000	590000	And the thing is, I don't really understand why should those objects crash that often.
590000	591000	Mm.
591000	595000	They are traveling presumably through space and they are crashing.
595000	596000	Mm.
596000	598000	Not all the time, but quite often.
598000	602000	Uh, I mean, the UFO enigma to me is much more complex.
602000	609000	And, uh, I'm not sure really that we are dealing with like those physical objects all the time.
609000	611000	We are from time to time.
611000	620000	I talked to Swedish, uh, radar, uh, observers that have told me about objects that are traveling huge speeds over Sweden.
620000	621000	Mm.
621000	625000	Uh, and of course they are physical, but some are not.
625000	626000	Yes.
626000	630000	So where in between could we, could we distinguish?
630000	633000	This is, uh, one of our UFO hardware.
633000	634000	This is something else.
634000	635000	Yeah.
635000	636000	I'm not sure.
636000	641000	Do you believe there are government crash retrieval and reverse engineering programs?
641000	645000	Uh, not here in Sweden that I'm sure about, but in 1946 we had.
645000	646000	Yeah.
646000	654000	Uh, they were out, the government sent the military out to several different lakes and tried to find those, uh, crashed objects.
654000	655000	You showed us photos.
655000	656000	Yeah.
656000	657000	Yeah.
657000	660000	But do you think in the U.S. there's an official program around these things?
660000	661000	I'm not sure.
661000	665000	I mean, I, I, I have my expertise here in Sweden really.
665000	666000	Mm.
666000	674000	Um, of course the military should be interested to find, uh, hardware if there is any kind of strange object.
674000	675000	Yeah.
675000	678000	You'd have, you'd have to dedicate resources to even try.
678000	679000	Yeah.
679000	680000	Absolutely.
680000	682000	It could be Chinese, could be Russian, could be something completely different.
682000	685000	But, uh, I think your, uh, authorities would be interested.
685000	690000	You know, people know of Hesselden in Norway as a UFO hotspot.
690000	696000	What in your mind are maybe the top five UFO hotspots in Europe?
696000	700000	I mean, Hesselden is interesting from many aspects first.
700000	707000	Uh, in the 1980s, early 1980s, we and UFO Norway had this huge expedition there.
707000	710000	And we could take pictures of them.
710000	712000	We can also see them on radar once.
712000	723000	But the thing is nowadays in Hessdalen, when you see something on a scientific instrument, the light, the thing is coming up from the ground.
723000	724000	Going upwards.
724000	726000	Never the other way.
726000	736000	We have in Sweden, uh, Dalarna, which is in the middle of Sweden, where we have had several waves of UFO observations.
736000	750000	We have a place, uh, on the island of Gotland called Martebo, where people go to a certain stretch of a road, watching for lights coming, wandering on this road.
750000	753000	But we also know we have been there.
753000	756000	We have traveled around and drove our own cars.
756000	759000	And they are shouting, oh, that is, that is the object.
759000	761000	But it was our car.
761000	770000	So there's really no place you can go here in Scandinavia to be sure to see something, except Hessdalen if you stay long enough.
771000	773000	So that's really the UFO hotspot.
773000	774000	Yeah, yeah, it is.
774000	776000	And it's been that for many years.
776000	790000	And the thing is about Hessdalen, even though most of the things you see are lights in the sky, if you talk to the people there, they can tell you ordinary UFO stories as well with crafts and sometimes even beings.
790000	791000	Mm-hmm.
791000	804000	Yeah, we were there and it was not, it was very easy to tell that an extremely high percentage of people that live there had experienced things like upwards of 80, 85, 90% of people.
804000	806000	And that was all of the report.
806000	809000	And everybody had family members and they'd experienced things.
809000	810000	It was ubiquitous pretty much.
810000	811000	Yeah.
811000	812000	Yeah.
812000	823000	Several people in Norway, they have experienced, experienced stuff like that, seeing things, but they don't dare to tell it because they're afraid to being.
823000	824000	Chastised.
824000	825000	Yeah, yeah, yeah.
825000	832000	So that's why I know when you speak to other people, have you seen anything unnatural?
832000	837000	Yes, yes, but I don't want to talk about it.
837000	847000	You could almost flip the percentages in any other place where if you were to poll people, they would say, you know, maybe 10, 15% would be open about, you know, it would be, it's the opposite.
847000	852000	And Hestland, you're the pariah if you haven't seen a UFO or something.
852000	859000	I mean, we knocked doors and talked to 1,600 Swedes and 10% of them had seen something.
859000	860000	That's remarkable.
860000	862000	It was only one of them who didn't want to talk with us.
862000	864000	The other ones were very open.
864000	865000	Okay.
865000	871000	And the interesting thing is that we have 22,000 case files from Sweden here at AFU.
871000	872000	Yeah.
872000	877000	And presumably 1 million Swedes, 10% of around 11 million.
877000	878000	Wow.
878000	879000	I've seen something.
879000	880000	Wow.
880000	885000	And last night, I talked with a lady who wrote me a letter.
885000	895000	And she, for the first time, told anyone outside her family about something happened in 1971, in October 1971.
895000	900000	And she was bicycling in a small city in the middle of Sweden.
900000	901000	Yeah.
901000	902000	It was daylight.
902000	903000	And the train was coming.
903000	905000	And this is so strange, you know.
905000	907000	It's just typically strange for me.
907000	908000	Hmm.
908000	914000	Back in the day, I used to chug coffee like I was prepping for a quantum jump.
914000	919000	But then I'd crash like my nervous system got slingshotted through a kaleidoscope.
919000	924000	Anxiety spiking, aura flickering, and REM sleep never met her.
924000	927000	It was like drinking battery acid on an empty stomach.
927000	929000	Then I found mud water.
929000	932000	It doesn't fry my circuits or my synapses.
932000	935000	I use mud water's original blend over ice.
935000	950000	It still has a little bit of caffeine, but it's stacked with adaptogens and nootropics like L-theanine, chaga, lion's mane, cacao, the whole earth squad to keep you naturally energized and to ensure that you don't wake up with the morning scaries.
950000	954000	One sip of mud water and my cells report for duty.
954000	957000	Two sips and boom, I'm plugged into the fungal starfleet.
957000	959000	All systems go.
959000	962000	So, are you ready to make the switch to cleaner energy?
962000	970000	Head to mudwater.com, that's M-U-D-W-T-R dot com, and grab your starter kit today.
970000	973000	That's M-U-D-W-T-R dot com.
973000	986000	Right now, our listeners get an exclusive deal up to 43% off your entire order, plus free shipping and a free rechargeable frother when you use code JESSE at checkout.
986000	996000	That's right, up to 43% off with code JESSE, that's J-E-S-S-E, at mudwater, M-U-D-W-T-R dot com.
996000	999000	After your purchase, they'll ask you how you found them.
999000	1002000	Please show your support and let them know we sent you.
1002000	1008000	On this train, there was a carriage with scrap metal, piled.
1008000	1013000	She saw two men on that, looking for something.
1013000	1017000	They have some, like, backpacks, but it was not backpacks.
1017000	1022000	It was, they had, like, suits, like the Superman.
1022000	1023000	Yeah.
1023000	1030000	But one color only, silver color, with something protruding out of their back like that.
1030000	1037000	And she watched them, and suddenly, they were standing on the other edge of this carriage, looking at her.
1037000	1043000	And they were holding their hands on the belt with a small box.
1043000	1051000	And they had very tight helmets, small, small heads, and some gloves.
1051000	1053000	And she was so frightened.
1053000	1056000	She was eight meters from them.
1056000	1058000	That's very, very close.
1058000	1061000	And suddenly, I mean, she went away.
1061000	1065000	And they went away and carried on with whatever they were doing.
1065000	1073000	And it was nearly impossible to walk that distance on this carriage because it was so much scrap metal.
1073000	1079000	So they just traveled over the metal, in a way, and were standing there.
1079000	1084000	And she turned around, and she could see they were still working, looking for something on this.
1084000	1085000	Wow.
1085000	1086000	Interesting.
1086000	1087000	Super strange.
1087000	1088000	Yeah.
1088000	1092000	Did she speculate as to who they were, where they were from at all?
1092000	1095000	I mean, she started to read about UFOs.
1095000	1099000	And nowadays, she's over 70 years of age.
1099000	1102000	And she looked on YouTube and whatever.
1102000	1105000	But she asked me what I thought.
1105000	1114000	And I said to her, this is, for me, a typical encounter with strange beings because it's not typical.
1114000	1115000	You're right.
1115000	1118000	So they are so different, so diverse.
1118000	1122000	So it's typical for things to be unable to categorize.
1122000	1123000	Yeah.
1123000	1128000	For me, if you really take a look at all of the spectrum, you will find that.
1128000	1145000	And that's what Jacques Vallée, you know, John Keel, a lot of these UFO researchers, once you get past a certain point, you get into this idea that the phenomena conceals itself with this absurdity element that is injected into every experience.
1145000	1147000	Absurdity is the word, you know.
1147000	1148000	That's a key word.
1148000	1149000	It's really absurd.
1149000	1153000	So it's so absurd that it pre-stigmatizes itself.
1153000	1164000	Like, the story you just told me of men in a garbage pile seemingly doing the most low-tech thing, wearing the most high-tech suits, teleporting from can to can or whatever.
1164000	1165000	Sounds insane.
1165000	1166000	Yeah.
1166000	1168000	But I'm sure that happened, you know?
1168000	1169000	Yeah.
1169000	1174000	And so that seems to be this very common theme, this trickster element.
1174000	1175000	Yeah.
1175000	1183000	Do you think that that's at play here, this idea that the phenomena almost wants to cover itself?
1183000	1184000	In a way.
