start	end	text
0	2760	There we see a wreck, and there we see something in there.
2760	7000	And then this thing popping up on the screen.
8940	12300	My next guest is a world-famous treasure hunter.
12460	13400	You heard that right.
15100	17520	His name is Dennis Asperg.
17600	20580	And this Swedish sensation is a real-life superhero
20580	22040	out of a different era.
22300	23440	I'm a curious guy.
23620	25940	I've always been interested in finding things
25940	27160	that nobody else has found.
27160	30780	But on June 19th, 2011,
31100	33360	his life's mission would change forever.
33620	35440	From unearthing human treasure
35440	38480	to unraveling the nature of reality itself.
38960	42840	That's when he came upon what you might call an underwater UFO,
43280	45800	or what's now known as a USO,
46120	50860	an unidentified submersible object in the very remote Baltic Sea.
51360	55880	It's something that makes our instrument go wild sometimes.
57160	60500	It's on the ocean floor right now.
60780	63720	So me, my crew, and Ammar Kandil from Yes Theory
63720	65000	went to go see it.
65620	67960	Sitting 90 meters below the surface,
68400	69680	60 meters wide,
69920	71780	this is one of the weirdest objects
71780	74240	ever detected by humans in the ocean.
74580	74860	Period.
74860	76460	Yeah, it's round,
76580	78200	and then we have these corridors.
78440	80620	You have angles, 90 degrees angles.
80820	82420	When you say corridors, like...
82420	83500	Yeah, you have a corridor,
83740	85380	and you have walls, flat walls.
85560	86000	Wow.
87520	88900	Dennis has now confirmed
88900	91980	that it is not attached to the seabed floor,
92100	94500	so it's not a natural geological formation.
94860	97440	I have never seen anything like that before,
97560	99340	not have my colleagues either.
99340	104040	Electromagnetic anomalies are rampant around it.
104300	107680	It breaks down GPS, subsea rovers, drones.
107680	109920	And then when we have used the Aero-V,
110320	111740	the Aero-V stops working.
112180	112500	Really?
112680	112880	Yep.
113120	113960	You lost GPS?
114340	115680	You were close to the...
115680	116460	To the object?
116580	116780	Yeah.
117680	118660	Oh, my God.
119120	120740	We have video of smoke
120740	123500	coming out of the water above the object,
123620	125920	as if it's fuming or emitting gas.
125920	128920	And then you see, like, it's from this hole,
129640	131260	this milk is going...
131260	131580	Uh-huh.
131660	131980	...and on.
132280	132760	Like it was...
132760	133700	Something is moving.
133860	134540	Yes, breathing.
134540	134940	Breathing.
135020	135200	Yeah.
136100	138920	Almost like a biological organism or something.
139920	141600	But it doesn't stop there.
141800	144000	It was literally struck by lightning,
144580	147040	an occurrence often considered a high watermark
147040	148300	for its unlikeliness.
148660	150980	We also have video of NATO ships
150980	152480	encircling this object
152480	154980	and tracking Dennis' Ocean X crew
154980	156660	in the middle of the Baltic Sea.
156780	159360	We had a meeting at the headquarter in Stockholm.
159700	161880	I said to one of the people there,
161980	162820	have you been there?
162880	163860	Have you dive on it?
164440	165740	And he just looked at me,
165900	166660	no, no, no, no.
167100	168280	We have not been there.
168740	170020	But I'm filming you.
170140	170960	I have filmed you.
171100	172340	So I know you have been there.
173180	173520	Nothing.
173700	174460	He don't say anything.
174580	174940	Whoa.
176860	178640	You'll get to see the full extent
178640	181120	of what we found at the end of this video.
181120	184000	Whether this is an ancient sacred temple,
184440	186700	a crashed unidentified flying object,
186900	189620	or an unidentified submersible object,
189980	191800	whatever this thing is,
191960	193520	it's definitively weird.
194000	197020	And like the object under the mesa at Skinwalker Ranch,
197260	199620	it seems to have a life of its own.
200000	201240	So without further ado,
201500	202800	sit back, relax,
202920	205620	and prepare to take a deep dive into the abyss
205620	208920	with this week's amazing Swedish alchemist,
209240	210460	Dennis Asperg.
224460	227660	So we're 60 kilometers out at sea,
227840	230920	kind of the epicenter between Finland and Sweden.
235620	236800	We're right above the spot,
236960	238840	right above the Baltic Sea anomaly.
240040	242120	And it just feels like we're in the middle of the ocean,
242220	242740	to be honest.
242820	246480	It doesn't feel any different than anywhere else.
249420	251180	One of our videographers, Phillip,
252020	253640	unfortunately threw up.
256900	258300	I think I'm the only person
258300	261060	who hasn't taken the seasickness medication,
261300	263260	which is probably pretty stupid.
265620	273380	Now we're sending the ROV down,
274040	276340	the remote-operated vehicle,
277300	279220	and we can see what it sees,
279300	280720	although visibility will be low,
280840	283060	so you can only see maybe max,
283220	284420	maybe a foot in front of it.
