start	end	text
80	5440	What do you call it when a retired Air Force general, one who once ran the most notorious
5440	10320	lab in UFO history, vanishes from his house in broad daylight?
10320	15480	The general was involved with the Pentagon's most advanced aerospace research.
15480	21080	When the NASA material scientist behind a breakthrough rocket engine alloy disappears
21080	23600	30 feet from her friend on a hike.
23600	29760	She was right behind them, 30 feet behind them, and then she disappeared.
29760	37080	And one of MIT's top plasma physicists is gunned down outside his own front door.
37080	42720	This many top scientists getting killed or going missing in just under a year looks like
42720	44200	a major red flag.
44200	50040	Who were the first people the Israelis killed in Iran when they went in?
50040	54080	The first thing you do is kill your scientists.
54080	58360	It's the kind of thing that sounds like the Chinese science fiction book, The Three-Body
58360	59360	Problem.
59360	64480	A world where scientists don't just make discoveries, but become the front line of a war they don't
64480	66680	even know they're in.
66680	71640	A world where the future rests on some of the most important minds on Earth.
71640	74600	And those minds start disappearing.
74600	78680	Except here, the names and the people behind them are real.
78680	84800	Cassius went missing after taking lunch to her teenage daughter at a cafe in Taos Plaza.
84800	90400	Some of them were very important people, and we're going to look at it over the next session.
90400	96160	What we're looking at might not just be geopolitics in the dark or pressure coming from nation states,
96160	101600	but from an unseen force shaping our timeline from somewhere above it, and a hidden struggle
101600	105680	over who gets to control humanity's next leap.
105680	108680	Or maybe none of these cases are connected.
108680	113120	It's really sensitive stuff, and I'm not a big believer in coincidences.
113120	118580	So tonight we're following the trail through missing scientists, murdered physicists, defense
118580	124660	world gatekeepers, in this strange shadowland that forms wherever advanced knowledge becomes
124660	126920	too dangerous to leave walking around.
126920	144340	There's a state that researchers called hypnagogia, that threshold between waking and sleep where
144340	147040	the brain is doing something genuinely unusual.
147040	152320	The kind of thing that comes up in remote viewing accounts or other out-of-body experiences.
152320	157320	And honestly, some of the most fascinating conversations I've had on this show.
157320	162400	Since moving to Austin, sleep is something I've thought about a lot more, mostly because
162400	163760	I'm not really doing it.
163760	165320	That is, until recently.
165320	170460	I used to sleep on whatever mattress I'd had for years, and it was clearly not helping me
170460	171760	get the sleep I need.
171760	176560	Then I did a comprehensive search, and I learned that most mattresses are kind of lame.
176560	182440	And a total insomniac friend of mine told me that he tried Helix, and it fixed all of his
182440	183440	issues.
183440	185560	Helix is the mattress of the future.
185560	190480	They have a sleep quiz that matches you to the right mattress based on your sleep position,
190480	194020	your body type, and whether you sleep hot or cold.
194020	196160	I got matched with the Helix Midnight.
196160	201120	It has a cooling cover which I know is going to matter a lot in these extremely hot Austin
201120	202400	summer days.
202400	205000	When I started using it, the change hit immediately.
205000	208520	I'm waking up feeling like I actually recovered overnight.
208520	214060	For someone who does four- and five-hour interviews, sleep is maybe the most important thing for
214060	215580	me to dial in.
215580	220200	Ask any health or biohacking expert, and it's the number one thing that impacts the rest of
220200	221200	your life.
221200	227880	Helix has 20-plus mattresses, free shipping, a 120-night trial, and a lifetime warranty.
227880	233620	And Helix's Midnight Luxe was ranked best overall mattress by both Forbes and Wired.
233620	237140	Thank you so much to Helix Sleep for sponsoring today's episode.
237140	243040	Visit helixsleep.com slash jessemichaels to take advantage of their spring savings event
243040	248920	and get 20% off site-wide, and 20% is a lot when it comes to mattresses.
248920	254440	Again, that's helixsleep.com slash jessemichaels, michaels with no A.
254440	275180	The trail begins in Albuquerque, New Mexico, in the shadow of Sandia Mountains.
275180	281400	It's February 27th, 2026, a late Friday morning on Quail Run Court.
282140	287880	Neil McCaslin, a 68-year-old retired Air Force general, is at home in a quiet neighborhood
287880	290460	at the edge of the Cibola National Forest.
290460	293640	A repairman sees him at the house around 10 a.m.
294120	300140	Then, about an hour later, around 11.10 a.m., his wife leaves for a medical appointment.
300140	304520	At 12.04, barely an hour after that, she's back home.
306440	308640	But her husband is gone.
308960	314280	Left behind are his prescription glasses, his phone, which had been switched off, and his
314280	314940	smartwatch.
315100	318640	All the things that would make him trackable in the 21st century.
319120	325280	But what's missing is a red backpack, his wallet, and a .38 caliber revolver with its
325280	325700	holster.
325700	327360	Not the best combination.
328320	334420	At 3.07, his wife Susan reports him missing, and the official police investigation begins.
334660	340780	In a newly released 911 call, she tells the dispatcher he's been gone for about three hours.
341120	345680	I have some indication that he must have planned not to be found.
345900	351220	She said he changed his clothes, and appears to be on foot, since none of their cars or bikes
351220	351780	were missing.
351780	356720	She also tells dispatch that he's been dealing with some medical issues, and that both of
356720	361980	them were seeing a doctor for anxiety, lack of sleep, and short-term memory problems.
362380	366200	In fact, it was the same doctor she had seen earlier that day.
366400	371780	But Susan chalked the health issues up to garden-variety things that you face in old age.
371960	375720	She never thought that Neil would actually act in a way to harm himself.
375720	381160	Saying if his brain and body keeps deteriorating, he didn't want to live like that.
381800	387980	But it seemed to me that was just a, man, I hate how this is going kind of thing.
388220	391920	A comment like that would naturally raise concerns about self-harm.
392000	396940	But whether that was a real risk or just a throwaway comment on an off day, we don't
396940	397660	actually know.
397660	402640	When the police asked about the weapons, she said that her husband had a gun safe with
402640	408060	multiple pistols and rifles, but at that moment, couldn't tell whether anything was actually
408060	408460	missing.
408820	412720	Although now we know that one of his .38 calibers was, in fact, gone.
413040	415420	The next day, a silver alert goes out.
415820	420320	This is the kind of statewide alert issued when authorities think a missing person might be
420320	422700	disoriented or cognitively impaired.
422700	427820	New Mexico state statute doesn't require any kind of formal diagnosis.
428400	432700	Given what Susan had already told the police, that was enough to trigger it.
432780	438280	But even with those reported issues, McCaslin still doesn't fit the profile of a man who
438280	440000	just wandered into a canyon.
440260	443360	Investigators say he's still highly intelligent and capable.
443620	448420	Friends say that the week before he disappeared, McCaslin cycled 60 miles.
448860	450680	He hiked those very foothills.
451020	451740	He biked them.
451740	453300	He knew every trail.
453940	458640	This wasn't a man losing his bearings, but the kind of guy who could out-ski most millennials.
459080	461200	This was also a town he knew by heart.
461440	466940	McCaslin once commanded the Phillips Research Site at Kirtland, an Air Force base notorious
466940	469880	for hosting advanced weapons research right nearby.
470340	472060	He wasn't a stranger to this place.
472300	473940	It was basically his backyard.
474500	480360	His wife would also issue another statement, saying McCaslin had some risk, but not from dementia.
480360	482960	He was not confused and disoriented.
483400	486380	But a clear head didn't make him any easier to find.
486640	491020	The Bernalillo County Sheriff's Office said that they had surveillance footage from both
491020	495200	ends of his street and still couldn't confirm his direction of travel.
495420	500100	They made public appeals for doorbell cameras, dashcams, GoPros, anything.
500100	505600	If you have any information where McCaslin may be, contact BCSO's Missing Persons Unit.
505760	511040	Within the span of a week, the search expanded from the Sheriff's Office to the FBI's Albuquerque
511040	516300	Field Office to the Air Force Office of Special Investigations, New Mexico State Search and
516300	523180	Rescue, Albuquerque Mountain Rescue, horseback teams, three types of search dogs, drones, helicopters,
523180	525000	and neighborhood canvassing.
525320	530580	And despite living in an era with enough cameras to catch almost every delivery on the block
530580	534200	in which he lived, no footage of him ever surfaced.
537000	542240	Police accessed his electronic devices and searched his usual hiking spots, like the
542240	545180	Elenic Lagos area into the Domingo Baca Canyon.
545740	547900	But there was still no trace of him.
547900	553580	After weeks, all they could find was a gray Air Force sweatshirt a mile east of his house.
554020	557900	And even after testing it, they couldn't confirm it was McCaslin's.
557980	563820	So we're talking about a regimented, physically active military vet who vanished from his house
563820	567620	without leaving a single digital or physical fingerprint behind.
568780	570420	That alone is strange.
570680	575960	But it gets stranger once you understand who McCaslin actually was and the world he came
575960	576400	out of.
576400	579700	General McCaslin, his disappearance was discussed.
579880	581460	UAPs were discussed.
581580	584000	So I don't think this story is going away, Jesse.
584320	589400	This was a man who spent his career deep in the black world of American defense.
589740	595140	When you read his official Air Force biography, you realize he had access to things that the
595140	598060	rest of us aren't even supposed to know exist.
598280	602540	The foundation for that kind of clearance started when he graduated from the Air Force
602540	609320	Academy, earned a Ph.D. in Astronautical Engineering from MIT on a Hertz Foundation Fellowship, and
609320	611600	later studied at Harvard's Kennedy School.
611600	617700	He went on to lead the Space-Based Laser Project Office, served as vice commander of the Space
617700	623340	and Missile Systems Center, was the Materiel Wing Director at the Air Force Research Lab's Space
623340	628860	Vehicles Directorate at Kirtland, and spent part of his career in the National Reconnaissance
628860	632640	Office, the world of black, off-the-record satellites.
632640	643020	His career spanned everything from directed energy, to space weapons, to nuclear oversight.
643860	645600	You probably get the point.
646020	651460	This was a man who could out-credential most presidents, and probably had more access than
651460	652060	them, too.
652240	656220	And there are two jobs on his resume that matter more than the rest.
656220	663280	From June 2009 to May 2011, McCaslin served as Director of Special Programs at the Pentagon,
663840	669220	in the Office of the Undersecretary of Defense for Acquisitions, Technology, and Logistics.
669800	674500	The title is a mouthful, but according to the official Pentagon training documentation,
675200	678840	that office oversees acquisition special access programs.
679260	683520	These programs are the ultimate category of secret black projects.
683520	690960	In fact, they account for about 75 to 80 percent of all special access programs in the Department
690960	691420	of War.
691860	695220	These are the programs built to protect the crown jewels.
695720	700860	Extremely sensitive research in the process of building something, like a next-generation
700860	705160	weapons system, or a craft that doesn't officially exist.
705440	711020	This is where sensitive technology moves from theory, to prototype, to something that the
711020	712720	military can actually fly.
712720	718420	And if you're wondering where UFO reverse engineering programs would possibly hide, this
718420	719300	is the place.
719680	723460	In the classified world, McCaslin's office was the motherlode.
723780	729680	His Wikipedia page goes a step further, claiming that the role made him Executive Secretary of
729680	735580	the Special Access Program Oversight Committee, the body that reviews and approves every single
735580	737700	special access program in the Pentagon.
738160	741160	But that's not even the most interesting job on his resume.
741160	751500	From 2011 to 2013, McCaslin commanded the Air Force Research Lab, AFRL, at Wright-Patterson
751500	758500	Air Force Base, overseeing a $2.2 billion science and technology portfolio, one of the largest
758500	761240	research operations in the entire Pentagon.
761240	766940	advanced material science, future weapons, and of course, exotic propulsion.
766940	771960	And if you're familiar with UFO lore, you also know that Wright-Patterson isn't just
771960	773620	famous for Project Blue Book.
774080	777100	It's the alleged home of the Roswell crash debris.
777100	786320	I called Curtis LeMay and I said, General, I know we have a room at Wright-Patterson where
786320	788220	you put all this secret stuff.
789720	791160	Could I go in there?
792020	797120	I've never heard him get mad, but he got madder than hell of me.
797480	804100	Depending on who you believe, this place houses some of the most exotic materials in the history
804100	805420	of the U.S. government.
805820	811100	It's the place where they get studied, stored, reverse-engineered, and obsessively hidden from
811100	811860	public view.
812180	813560	That's not even a conspiracy.
814220	819960	This is the place during World War II where the U.S. would reverse-engineer advanced Nazi
819960	820480	tech.
820840	823940	And General Neil McCaslin ran the entire thing.
823940	835260	But what really put him on the radar of UFO world is that his name showed up somewhere
835260	836500	no one expected.
836500	843080	In 2016, WikiLeaks published the hacked emails of John Podesta, Hillary Clinton's campaign
843080	847380	chairman and one of the most powerful political operatives in Washington.
848120	852840	Buried in that email dump is an email from Tom DeLonge to Podesta.
852840	855680	The subject line, General McCaslin.
855940	856840	DeLonge writes,
857280	859080	He mentioned he's a skeptic.
859380	859960	He's not.
860120	862040	I've been working with him for four months.
862280	867700	I've just got done giving him a four-hour presentation on the entire project a few weeks ago.
867920	872120	He tells Podesta that McCaslin just has to say that out loud.
872220	874180	Because he is very, very aware.
874380	877480	Because he was the man in charge of all of this stuff.
877620	882280	When Roswell crashed, they shipped it to the laboratory at Wright-Patterson Air Force
882280	883120	Base.
883120	887800	General McCaslin was in charge of that exact laboratory up to a couple years ago.
888060	892840	He not only knows what I'm trying to achieve, he helped assemble my advisory team.
892980	894840	He's a very important man.
895140	898480	DeLonge was after UFO disclosure for the American people.
898760	901100	That's the whole point of To the Stars Academy.
901480	905540	General McCaslin being involved in those early efforts is a big deal.
905540	910900	Some people try to dismiss Tom DeLonge and say that he was never in touch with Neil McCaslin.
911300	914500	After all, these leaked emails were never publicly confirmed.
915280	920800	But even his wife Susan would come to acknowledge that McCaslin was caught up in the Russian hack
920800	924880	and had less contact with Tom after the emails were released.
925400	927860	Key word here, less, not zero.
930180	934500	And she's implicitly admitting that they were in close contact previously.
935080	941720	In fact, in that same email batch that leaked, a calendar notification shows that Susan herself
941720	946940	accepted a Google Calendar invite for something called a DeLonge-Podesta meeting.
946940	952700	So at minimum, McCaslin and his wife were in the room for conversations about UFO disclosure.
953040	955120	We're not talking about a 4chan thread here.
955420	958320	We're talking about Podesta's actual inbox.
958720	962880	And as for Susan McCaslin, she has a quite impressive background herself.
963420	967620	She's a PhD astrophysicist, a colonel in the Air Force Reserve.
968040	973780	She was a NASA astronaut semifinalist and had stints at both Boeing and Raytheon.
973780	977480	She might even have her own clearance history.
978600	985180	After McCaslin disappeared, she told the press that he only held commonly held clearances since
985180	985700	retirement.
986300	986580	Maybe.
987320	993080	But a man who spent his career this deep in the black world likely saw the full portfolio.
993440	995380	And you don't really unsee that.
995640	997720	Susan later made a statement on Facebook.
997720	998520	She wrote,
998780	1003760	Neil does not have any special knowledge about the ET bodies and debris from the Roswell
1003760	1005580	crash stored at Wright-Patt.
1005660	1011060	Though at this point, with absolutely no sign of him, maybe the best hypothesis is that aliens
1011060	1012720	beamed him up to the mothership.
1012860	1017880	However, no sightings of a mothership hovering above the Sandia Mountains have been reported.
1018140	1023080	Maybe this is just a woman holding it together with dark humor while the internet tears her
1023080	1023760	life apart.
1023940	1026540	But it's undeniable that the phrasing is odd.
1026540	1030820	She doesn't say Roswell material doesn't exist at Wright-Patterson.
1031120	1034900	She just says McCaslin doesn't have any special knowledge about it.
1035100	1040360	An event that, mind you, has been reported on ad nauseum in the open source world.
1040480	1041820	So she might just be saying,
1042000	1046920	there's nothing that Neil McCaslin knows about Roswell that you, the public, don't already
1046920	1047220	know.
1047220	1053540	Now look, any reasonable person should be hesitant to parse or speculate on the words
1053540	1054740	of a grieving wife.
1055360	1058600	And Susan and Neil deserve all of our thoughts and prayers.
1058960	1065600	But also, to any reasonable person, these words almost feel like a cipher to decode, an
1065600	1068440	invitation to speculate, just a little bit.
1068440	1072260	And the statement ended up provoking just that.
1072720	1075100	They spurred a lot of public speculation.
1075600	1078700	If anything, the internet theorizing went into overdrive.
1078820	1087460	I do think that there are secrets that obviously will not be released because we have technologies
1087460	1088640	that other nations don't.
1088640	1093200	and just see the superiority of our forces right now with Iran.
1093200	1099660	Had McCaslin been quietly folded into some continuity of government program or taken into
1099660	1102980	protective custody in preparation for the war with Iran?
1103320	1108180	Had he been taken by a foreign adversary that understood exactly how valuable he was?
1108620	1115500	People in UFO world associate McCaslin with the Majestic 12, an elite and top secret presidential
1115500	1121200	advisory panel dating back to Truman and Eisenhower that deals with the UFO topic.
1121720	1127220	There are a lot of reasonable questions as to whether this Majestic 12 committee ever really existed.
1127460	1132280	But perhaps the person deepest on the UFO truth, at least from the government perspective
1132280	1138040	that we know about over the last 70 years, is a guy named Colonel John Alexander.
1138040	1143680	And at one point, he admitted that the Majestic 12 was basically just a cover for continuity
1143680	1145140	of government programs.
1145500	1150340	People in the military-industrial complex, where if the president and his direct cabinet
1150340	1152900	were incapacitated, they would take over.
1153380	1157160	To be honest, McCaslin sounds like he squarely fits that profile.
1157520	1160300	Theories around his disappearance kept multiplying.
1160620	1163460	And the timing of all of this didn't help either.
