start	end	text
0	3620	Do you think other people think that you are the Messiah?
4700	7740	I came out of a conference speaking, and when I walked out the door,
7860	11120	this mad lady comes running up to me and tries to kidnap me.
11280	11580	What?
11880	12200	Yeah.
14000	19820	My job is to share a truth that everyone's been told is not real.
22960	28300	It was 19 years ago, on January the 8th of 2007,
28300	31380	I was down and out and lost everything.
31660	36240	Lost my home, and I'm having to apply for free lunch for my kids.
36460	38000	Sick with Crohn's disease.
38420	41240	And if anybody has Crohn's knows how bad that is.
41340	43540	You know, you're in the restroom 10 times a day.
43620	46500	I was at 20 times a day at that point in my life.
47080	51780	In January of 2007, while fishing with friends in North Carolina,
52420	57680	Chris Bledsoe witnessed a series of bright, intelligently moving orbs in the sky.
57680	59600	That moment doesn't end.
59860	64480	It starts a series of unexpected and seemingly miraculous events.
65480	67620	And then my Crohn's was gone.
67820	68920	I had no more sickness.
69460	72800	In the days and weeks that follow, the phenomena continue.
73480	77300	The lights appear again and again, sometimes at a distance,
77700	79820	sometimes directly over his home.
79820	86180	He reports numerous encounters that don't resemble crafts, lights, or UFOs at all,
86360	90080	but what he describes as a luminous, feminine presence,
90380	93500	deeply unsettling in its archetypal familiarity.
94780	100960	Her communication seems to go beyond the cliches and platitudes of normal contact experiences.
100960	110320	They touch on humanity's deep moral decay, cycles of civilizational collapse, judgment, the apocalypse, and renewal.
110780	114100	They revolve around humanity reaching a threshold.
115140	117960	I came back excited to tell it.
118140	123540	That's when the next five years of darkness I talk about in my book started.
123540	131820	His UFO experiences only serve to make him more of a pariah in his local community of Fayetteville, North Carolina,
132320	138560	where fundamentalist Christianity is the only way, and anything paranormal is considered demonic.
139720	143240	NASA and the CIA show up at Bledsoe's door.
143700	146300	And not just anybody at NASA and the CIA.
146300	152960	I'm talking about a high-level NASA mission control who has worked on launches at Cape Canaveral
152960	155280	since the Challenger missions in the 80s.
155500	159440	And he said I was at the dinner table with the president and handed me that.
159560	160100	He said that?
160280	160460	Yeah.
160560	160840	Whoa.
160980	162180	And this, yeah.
